Hauteur eau en aval du tronçon (m);ONDE CINEMATIQUE MODIFIEE ( VERSION 4.4.0.0000 )
date heure\troncon;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196
2020-01-01 00:00;0.67933;0.67872;0.05857;0.67872;0.06741;0.15301;0.02283;0.67849;0.02031;0.67831;0.03872;0.67853;0.01039;0.50871;0.01036;0.67906;0.67903;0.01249;0.67944;0.68008;0.00930;0.68030;0.00821;0.01421;0.01504;0.46907;0.03138;0.68067;0.68060;0.01340;0.68102;0.01582;0.54218;0.01208;0.68120;0.01436;0.68172;0.66175;0.68190;0.68574;0.68571;0.64771;0.64772;0.67808;0.56374;0.56088;0.43248;0.53401;0.53241;0.52598;0.52304;0.51386;0.48432;0.12192;0.47086;0.17400;0.48011;0.47834;0.47307;0.17175;0.46953;0.46924;0.19848;0.46593;0.40951;0.34241;0.39124;0.37495;0.44198;0.23887;0.34457;0.32027;0.26100;0.32566;0.28766;0.07308;0.04058;0.20994;0.04928;0.23446;0.23116;0.06908;0.22979;0.22832;0.22804;0.22773;0.22534;0.07443;0.22596;0.22341;0.21075;0.21142;0.05796;0.21154;0.08018;0.20600;0.16857;0.14168;0.13330;0.13051;0.12501;0.12118;0.08150;0.10857;0.03332;0.11093;0.04023;0.10765;0.02017;0.10721;0.04473;0.03085;0.02833;0.01633;0.04130;0.10538;0.03677;0.10545;0.10468;0.10448;0.06762;0.04951;0.03374;0.02441;0.01004;0.09294;0.04482;0.04806;0.01303;0.04694;0.07266;0.08349;0.04263;0.07487;0.04337;0.02719;0.04271;0.08874;0.04911;0.08925;0.07079;0.05784;0.04584;0.03694;0.02710;0.03009;0.05057;0.05823;0.20352;0.16609;0.11610;0.13532;0.07987;0.15063;0.09016;0.02841;0.05038;0.14758;0.09101;0.04381;0.04682;0.05240;0.09653;0.08173;0.10232;0.11207;0.07844;0.10158;0.08313;0.08776;0.06852;0.03443;0.23755;0.43674;0.57047;0.56746;0.07927;0.16036;0.13967;0.21490;0.16656;0.47276;0.34384;0.16548;0.27551;0.08094;0.12245;0.02654;0.64685;0.01314;0.13045;0.05248;0.09198;0.06569;0.03540;0.04975
2020-01-02 00:00;0.49715;0.49263;0.06592;0.49245;0.07267;0.16478;0.03239;0.49106;0.02490;0.48814;0.03037;0.48791;0.00999;0.36546;0.01152;0.48706;0.48698;0.01390;0.48640;0.48561;0.00963;0.48494;0.00980;0.01703;0.01684;0.33410;0.04063;0.48423;0.48371;0.01311;0.48204;0.01813;0.38276;0.01238;0.48039;0.01538;0.48027;0.46586;0.47814;0.47883;0.47761;0.45490;0.45439;0.56014;0.36655;0.35940;0.38999;0.32337;0.31871;0.30766;0.29848;0.28870;0.27872;0.03212;0.27046;0.04545;0.27576;0.27465;0.27179;0.04428;0.27042;0.26977;0.05432;0.26882;0.25141;0.09806;0.24710;0.24217;0.18373;0.16292;0.13849;0.22518;0.10597;0.13368;0.12311;0.06501;0.03831;0.08352;0.03606;0.20217;0.19863;0.05509;0.19747;0.19556;0.19457;0.19443;0.19073;0.06522;0.19094;0.18885;0.18020;0.18208;0.04302;0.18228;0.06989;0.17839;0.14255;0.12352;0.11500;0.11071;0.10553;0.10142;0.08060;0.08831;0.02101;0.09065;0.03214;0.08691;0.01847;0.08642;0.03767;0.03156;0.01833;0.01134;0.02053;0.08479;0.03016;0.08469;0.08366;0.08275;0.04284;0.03180;0.02412;0.01922;0.01018;0.07532;0.02960;0.03872;0.01225;0.03796;0.06415;0.06895;0.04218;0.05818;0.03766;0.02558;0.03362;0.07804;0.03702;0.08055;0.06870;0.04561;0.03838;0.03389;0.02597;0.02207;0.03521;0.04016;0.15836;0.14420;0.11193;0.14138;0.08601;0.14696;0.07471;0.02769;0.04731;0.14683;0.09166;0.03106;0.04136;0.04295;0.08322;0.05644;0.08327;0.09831;0.06450;0.08484;0.07026;0.06845;0.04690;0.03097;0.06762;0.17819;0.23405;0.22956;0.04006;0.04131;0.03597;0.05684;0.04307;0.20115;0.13444;0.20729;0.25740;0.09594;0.14961;0.02974;0.39280;0.01465;0.13492;0.04515;0.09516;0.07523;0.03411;0.05755
2020-01-03 00:00;0.43172;0.42585;0.11320;0.42519;0.13908;0.31549;0.06412;0.42034;0.04844;0.41775;0.05907;0.41752;0.01952;0.31289;0.01746;0.41728;0.41714;0.02098;0.41706;0.41662;0.01728;0.41637;0.01740;0.02959;0.02941;0.28695;0.08310;0.41595;0.41475;0.02498;0.41277;0.03401;0.32769;0.01479;0.41151;0.02415;0.41163;0.39891;0.40970;0.40832;0.40796;0.40362;0.40332;0.59379;0.29227;0.26614;0.30028;0.23695;0.22648;0.21649;0.19366;0.18599;0.18533;0.00687;0.18020;0.01108;0.18412;0.18366;0.18261;0.01424;0.18186;0.18179;0.01481;0.18156;0.18007;0.01794;0.17947;0.17816;0.06031;0.12489;0.03769;0.17572;0.07159;0.09000;0.08175;0.05703;0.03717;0.05780;0.02482;0.16913;0.16633;0.04854;0.16523;0.16411;0.16391;0.16382;0.16054;0.04562;0.16126;0.16074;0.15345;0.15537;0.03870;0.15549;0.05266;0.15235;0.11310;0.09485;0.08369;0.07771;0.07239;0.07113;0.06967;0.05897;0.01846;0.06010;0.02252;0.05777;0.01540;0.05726;0.02900;0.02402;0.01447;0.01132;0.01536;0.05526;0.02213;0.05481;0.05341;0.05019;0.03081;0.02229;0.02036;0.01755;0.00973;0.03720;0.02726;0.02681;0.01185;0.02492;0.02954;0.04752;0.03586;0.03503;0.01755;0.01853;0.03024;0.06943;0.03144;0.07338;0.06356;0.03743;0.03442;0.03085;0.02384;0.01885;0.03048;0.02472;0.13686;0.13359;0.10614;0.14176;0.08832;0.14161;0.06156;0.02385;0.04021;0.14346;0.08958;0.02519;0.02778;0.02685;0.05591;0.04418;0.05743;0.08563;0.05360;0.06517;0.04697;0.05837;0.03881;0.02714;0.01662;0.05527;0.07183;0.06388;0.02293;0.00950;0.01184;0.01131;0.00970;0.05476;0.03829;0.42851;0.19161;0.21032;0.32823;0.05704;0.19086;0.02402;0.15726;0.09029;0.11363;0.14378;0.06170;0.09907
2020-01-04 00:00;0.28684;0.28109;0.07384;0.28063;0.09055;0.20558;0.02592;0.27703;0.02577;0.27302;0.06216;0.27229;0.01577;0.20376;0.01175;0.27108;0.27095;0.01511;0.27010;0.26864;0.01273;0.26780;0.00926;0.01546;0.01812;0.18434;0.03502;0.26685;0.26595;0.01861;0.26366;0.01940;0.20876;0.01407;0.26173;0.01787;0.26138;0.25269;0.25776;0.25401;0.25270;0.25004;0.24936;0.33477;0.19088;0.17276;0.09266;0.16727;0.16324;0.16124;0.15438;0.15295;0.15329;0.00660;0.14944;0.01013;0.15301;0.15289;0.15271;0.01311;0.15213;0.15249;0.01365;0.15246;0.15315;0.01530;0.15317;0.15280;0.04193;0.10795;0.02259;0.15221;0.06572;0.08196;0.07309;0.04695;0.03634;0.05491;0.02312;0.14727;0.14544;0.04300;0.14453;0.14394;0.14418;0.14434;0.14281;0.03959;0.14352;0.14416;0.13756;0.13918;0.03797;0.13923;0.04924;0.13600;0.09615;0.07855;0.06842;0.06463;0.05970;0.05694;0.04936;0.04858;0.01387;0.04961;0.01920;0.04768;0.01228;0.04743;0.02169;0.01559;0.01326;0.00891;0.01425;0.04544;0.01611;0.04536;0.04375;0.04214;0.02819;0.02149;0.01818;0.01457;0.00994;0.03421;0.02246;0.02742;0.01182;0.02626;0.03767;0.04165;0.02820;0.03366;0.01776;0.01356;0.02428;0.06343;0.02463;0.06939;0.05727;0.03625;0.03232;0.02901;0.02180;0.01865;0.02838;0.02689;0.12347;0.12725;0.10109;0.13887;0.08820;0.13702;0.05263;0.01968;0.02832;0.13991;0.08712;0.02285;0.02834;0.02146;0.03721;0.04054;0.03913;0.06627;0.04162;0.05556;0.03919;0.05151;0.03276;0.02418;0.01544;0.03329;0.04330;0.03466;0.01916;0.00864;0.01091;0.00830;0.00851;0.02815;0.01665;0.19012;0.04005;0.10581;0.15421;0.03682;0.07915;0.01573;0.14051;0.07949;0.10847;0.08590;0.04905;0.06725
2020-01-05 00:00;0.19199;0.18821;0.05580;0.18783;0.04954;0.11213;0.01869;0.18600;0.01973;0.18317;0.05290;0.18252;0.01017;0.13658;0.01066;0.18171;0.18160;0.01218;0.18097;0.17991;0.00830;0.17932;0.00750;0.01349;0.01312;0.12342;0.02043;0.17865;0.17805;0.01146;0.17673;0.01246;0.14000;0.01365;0.17551;0.01342;0.17525;0.16870;0.17187;0.16796;0.16703;0.16543;0.16495;0.15352;0.14714;0.14418;0.02621;0.14443;0.14405;0.14373;0.14283;0.14260;0.14289;0.00703;0.13941;0.01020;0.14283;0.14279;0.14280;0.01363;0.14227;0.14271;0.01523;0.14271;0.14331;0.01531;0.14345;0.14330;0.04071;0.10133;0.02297;0.14286;0.06505;0.08069;0.07169;0.04483;0.03574;0.05459;0.02393;0.13790;0.13675;0.03582;0.13617;0.13606;0.13635;0.13645;0.13636;0.03737;0.13711;0.13775;0.13136;0.13267;0.03844;0.13267;0.04621;0.12946;0.09211;0.07447;0.06410;0.05934;0.05429;0.05229;0.03071;0.04754;0.01863;0.04819;0.02007;0.04664;0.01007;0.04645;0.02101;0.01334;0.01450;0.01169;0.01481;0.04473;0.01997;0.04411;0.04279;0.04031;0.02910;0.02171;0.02012;0.01778;0.00967;0.03122;0.02782;0.02495;0.01172;0.02350;0.02854;0.03829;0.02165;0.03239;0.01421;0.01700;0.03064;0.06208;0.03172;0.06523;0.04957;0.03541;0.03251;0.02961;0.02274;0.01888;0.02762;0.02358;0.12091;0.12389;0.09750;0.13526;0.08739;0.13321;0.04659;0.01643;0.02443;0.13669;0.08483;0.02534;0.02596;0.02221;0.03886;0.04100;0.03740;0.04452;0.04056;0.05300;0.03851;0.04776;0.02859;0.01667;0.01577;0.03319;0.04331;0.03343;0.02075;0.00913;0.01296;0.00855;0.00900;0.02741;0.01797;0.04775;0.02510;0.01496;0.04310;0.02347;0.04927;0.01275;0.11223;0.06733;0.10687;0.05745;0.03358;0.05448
2020-01-06 00:00;0.15762;0.15540;0.05357;0.15500;0.04514;0.10221;0.01788;0.15338;0.01924;0.15168;0.03520;0.15137;0.00998;0.11338;0.01058;0.15111;0.15101;0.01229;0.15076;0.15028;0.00788;0.15007;0.00730;0.01333;0.01273;0.10338;0.01926;0.14982;0.14933;0.00990;0.14885;0.01221;0.11824;0.01364;0.14841;0.01327;0.14835;0.14247;0.14582;0.14262;0.14230;0.14173;0.14150;0.07538;0.13903;0.13860;0.02694;0.13914;0.13909;0.13901;0.13865;0.13852;0.13877;0.00705;0.13543;0.01022;0.13879;0.13878;0.13885;0.01370;0.13833;0.13880;0.01548;0.13881;0.13926;0.01534;0.13946;0.13942;0.03984;0.09865;0.02313;0.13907;0.06344;0.07811;0.06892;0.03959;0.03513;0.05355;0.02435;0.13445;0.13348;0.02687;0.13332;0.13327;0.13376;0.13394;0.13430;0.03998;0.13489;0.13531;0.12938;0.13060;0.03859;0.13059;0.04924;0.12732;0.09053;0.07404;0.06560;0.06285;0.05832;0.05544;0.03924;0.04915;0.01433;0.05019;0.01962;0.04831;0.00898;0.04815;0.02199;0.01543;0.01379;0.00910;0.01558;0.04606;0.01648;0.04597;0.04445;0.04334;0.02934;0.02222;0.01881;0.01497;0.00995;0.03518;0.02333;0.02759;0.01174;0.02711;0.03872;0.04098;0.02295;0.03526;0.01890;0.01385;0.02489;0.05722;0.02533;0.06114;0.03984;0.03591;0.03144;0.02879;0.02159;0.01888;0.02603;0.02813;0.11603;0.12060;0.09470;0.13210;0.08632;0.12980;0.04228;0.01424;0.02080;0.13360;0.08266;0.02349;0.02884;0.02258;0.03933;0.04131;0.04061;0.04355;0.03807;0.05188;0.04104;0.04062;0.03131;0.02048;0.01590;0.03433;0.04486;0.03428;0.02186;0.00921;0.01314;0.00862;0.00908;0.02775;0.01926;0.04217;0.02552;0.01221;0.02304;0.02255;0.04744;0.01239;0.09499;0.04760;0.10510;0.05436;0.02819;0.05241
2020-01-07 00:00;0.14730;0.14555;0.05091;0.14517;0.04387;0.09935;0.01754;0.14361;0.01904;0.14228;0.03255;0.14204;0.00884;0.10644;0.01055;0.14193;0.14184;0.01196;0.14170;0.14142;0.00755;0.14132;0.00723;0.01328;0.01267;0.09737;0.01887;0.14118;0.14074;0.00842;0.14051;0.01198;0.11172;0.01356;0.14027;0.01310;0.14027;0.13461;0.13800;0.13633;0.13618;0.13588;0.13572;0.05152;0.13678;0.13666;0.02687;0.13717;0.13712;0.13703;0.13679;0.13666;0.13692;0.00701;0.13361;0.01017;0.13690;0.13688;0.13692;0.01360;0.13641;0.13685;0.01534;0.13685;0.13723;0.01528;0.13739;0.13729;0.03910;0.09711;0.02285;0.13689;0.06363;0.07860;0.07035;0.04528;0.03446;0.05232;0.02422;0.13200;0.13094;0.03220;0.13049;0.13041;0.13090;0.13094;0.13109;0.03818;0.13173;0.13215;0.12640;0.12748;0.03839;0.12742;0.04623;0.12423;0.08880;0.07285;0.06420;0.05983;0.05478;0.05272;0.03269;0.04762;0.01820;0.04827;0.02007;0.04661;0.00848;0.04644;0.02109;0.01362;0.01433;0.01130;0.01480;0.04466;0.01937;0.04412;0.04287;0.04068;0.02917;0.02172;0.01981;0.01725;0.00965;0.03132;0.02720;0.02425;0.01173;0.02370;0.02912;0.03862;0.02120;0.03287;0.01475;0.01655;0.02993;0.05414;0.03088;0.05400;0.02183;0.03447;0.03142;0.02921;0.02236;0.01869;0.02498;0.02340;0.11313;0.11751;0.09225;0.12959;0.08507;0.12641;0.03905;0.01265;0.02571;0.13040;0.08043;0.02515;0.02622;0.02250;0.03916;0.04126;0.03873;0.04026;0.04029;0.04921;0.03943;0.03336;0.02902;0.01621;0.01581;0.03428;0.04477;0.03426;0.02176;0.00916;0.01304;0.00859;0.00904;0.02701;0.01916;0.03206;0.02491;0.01052;0.01293;0.02229;0.04713;0.01233;0.07224;0.04137;0.10337;0.05204;0.02378;0.05098
2020-01-08 00:00;0.14330;0.14176;0.04890;0.14140;0.04236;0.09593;0.01755;0.13992;0.01895;0.13877;0.02606;0.13862;0.00990;0.10389;0.01056;0.13856;0.13848;0.01225;0.13839;0.13816;0.00780;0.13811;0.00722;0.01332;0.01270;0.09518;0.01911;0.13802;0.13762;0.00895;0.13745;0.01200;0.10933;0.01360;0.13731;0.01323;0.13734;0.13178;0.13527;0.13334;0.13325;0.13302;0.13288;0.04958;0.13414;0.13407;0.02741;0.13456;0.13455;0.13448;0.13438;0.13426;0.13451;0.00717;0.13129;0.01017;0.13455;0.13455;0.13464;0.01376;0.13414;0.13460;0.01587;0.13461;0.13492;0.01525;0.13513;0.13512;0.03912;0.09561;0.02291;0.13478;0.06255;0.07682;0.06818;0.04053;0.03383;0.05208;0.02466;0.13025;0.12937;0.02841;0.12914;0.12912;0.12966;0.12977;0.13008;0.04042;0.13057;0.13082;0.12544;0.12649;0.03856;0.12645;0.04921;0.12320;0.08836;0.07350;0.06589;0.06334;0.05872;0.05571;0.03983;0.04927;0.01424;0.05031;0.01978;0.04839;0.00843;0.04822;0.02225;0.01568;0.01387;0.00891;0.01599;0.04606;0.01600;0.04603;0.04457;0.04374;0.02957;0.02242;0.01867;0.01460;0.00995;0.03546;0.02321;0.02724;0.01172;0.02746;0.03954;0.04162;0.02330;0.03586;0.01949;0.01352;0.02436;0.05484;0.02484;0.05826;0.03674;0.03553;0.03073;0.02842;0.02118;0.01888;0.02461;0.02877;0.10911;0.11541;0.09029;0.12765;0.08368;0.12333;0.03711;0.01152;0.02226;0.12732;0.07827;0.02353;0.02917;0.02295;0.03983;0.04129;0.04168;0.04427;0.03846;0.05060;0.04150;0.03729;0.03171;0.02060;0.01589;0.03480;0.04542;0.03450;0.02232;0.00933;0.01376;0.00867;0.00921;0.02673;0.02037;0.02829;0.02664;0.01083;0.01260;0.02224;0.04723;0.01235;0.07515;0.03457;0.10161;0.05052;0.02526;0.04979
2020-01-09 00:00;0.14123;0.13992;0.04546;0.13960;0.03947;0.08939;0.01551;0.13829;0.01818;0.13725;0.03234;0.13704;0.00872;0.10271;0.01041;0.13699;0.13691;0.01179;0.13682;0.13663;0.00734;0.13658;0.00697;0.01296;0.01236;0.09413;0.01717;0.13651;0.13615;0.00819;0.13603;0.01140;0.10822;0.01349;0.13591;0.01289;0.13593;0.13046;0.13386;0.13228;0.13217;0.13196;0.13183;0.04892;0.13307;0.13298;0.02635;0.13346;0.13341;0.13333;0.13319;0.13308;0.13336;0.00684;0.13013;0.01006;0.13333;0.13330;0.13333;0.01333;0.13283;0.13325;0.01482;0.13325;0.13355;0.01517;0.13368;0.13355;0.03826;0.09444;0.02211;0.13314;0.06214;0.07659;0.06869;0.04502;0.03311;0.05082;0.02406;0.12833;0.12715;0.03185;0.12667;0.12649;0.12673;0.12672;0.12669;0.03830;0.12721;0.12752;0.12245;0.12337;0.03803;0.12328;0.04593;0.12008;0.08642;0.07261;0.06391;0.05954;0.05445;0.05227;0.03270;0.04715;0.01776;0.04781;0.01974;0.04610;0.00821;0.04594;0.02079;0.01357;0.01402;0.01106;0.01426;0.04417;0.01889;0.04367;0.04242;0.04029;0.02866;0.02145;0.01939;0.01687;0.00964;0.03115;0.02658;0.02401;0.01170;0.02360;0.02961;0.03846;0.02127;0.03271;0.01486;0.01631;0.02946;0.05491;0.03038;0.05572;0.03429;0.03383;0.03079;0.02886;0.02202;0.01856;0.02372;0.02299;0.10424;0.11255;0.08849;0.12544;0.08219;0.12018;0.03468;0.01058;0.02548;0.12428;0.07619;0.02482;0.02623;0.02222;0.03827;0.04099;0.03850;0.04054;0.04008;0.04979;0.03948;0.03635;0.02895;0.01832;0.01560;0.03394;0.04437;0.03399;0.02154;0.00899;0.01240;0.00850;0.00886;0.02564;0.01844;0.02382;0.02333;0.00960;0.01122;0.02129;0.04593;0.01209;0.06976;0.04233;0.09951;0.04706;0.02285;0.04729
2020-01-10 00:00;0.13815;0.13675;0.04466;0.13644;0.03903;0.08838;0.01705;0.13514;0.01845;0.13411;0.02636;0.13395;0.00954;0.10039;0.01049;0.13388;0.13380;0.01210;0.13371;0.13350;0.00760;0.13344;0.00711;0.01322;0.01257;0.09196;0.01868;0.13336;0.13299;0.00871;0.13280;0.01169;0.10563;0.01350;0.13265;0.01309;0.13267;0.12731;0.13068;0.12890;0.12880;0.12853;0.12840;0.04800;0.12957;0.12948;0.02599;0.12994;0.12990;0.12981;0.12967;0.12954;0.12982;0.00693;0.12669;0.00994;0.12982;0.12981;0.12987;0.01331;0.12938;0.12981;0.01506;0.12982;0.13008;0.01500;0.13025;0.13018;0.03786;0.09209;0.02180;0.12982;0.06051;0.07412;0.06588;0.03981;0.03239;0.05011;0.02417;0.12535;0.12435;0.02776;0.12407;0.12397;0.12432;0.12438;0.12460;0.03948;0.12499;0.12518;0.12051;0.12140;0.03796;0.12132;0.04801;0.11811;0.08444;0.07141;0.06418;0.06149;0.05678;0.05394;0.03809;0.04777;0.01392;0.04877;0.01939;0.04690;0.00816;0.04674;0.02168;0.01512;0.01365;0.00876;0.01551;0.04458;0.01560;0.04454;0.04311;0.04221;0.02902;0.02208;0.01834;0.01434;0.00983;0.03353;0.02284;0.02623;0.01163;0.02666;0.03739;0.04051;0.02267;0.03482;0.01841;0.01332;0.02395;0.05162;0.02430;0.05363;0.02886;0.03466;0.03012;0.02798;0.02080;0.01866;0.02371;0.02764;0.10018;0.11080;0.08672;0.12331;0.08060;0.11739;0.03362;0.00992;0.02186;0.12140;0.07419;0.02315;0.02833;0.02246;0.03871;0.04070;0.04031;0.04240;0.03782;0.04961;0.04038;0.03580;0.03060;0.01910;0.01543;0.03365;0.04393;0.03356;0.02140;0.00902;0.01295;0.00848;0.00891;0.02465;0.01887;0.02657;0.02423;0.01040;0.01182;0.02157;0.04548;0.01222;0.07150;0.03496;0.09770;0.04710;0.02461;0.04693
