Débit en amont du tronçon (m3/s);ONDE CINEMATIQUE MODIFIEE ( VERSION 4.4.0.0000 )
date heure\troncon;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196
2020-01-01 00:00;13.01557;13.01536;0.00000;13.00481;0.03564;0.00000;0.00000;12.93777;0.00000;12.93421;0.00000;12.92820;0.00000;12.92188;0.00000;12.92157;12.91459;0.00000;12.90565;12.89555;0.00000;12.89246;0.00042;0.00000;0.00000;12.88830;0.00000;12.88525;12.86259;0.00000;12.84904;0.00000;12.84483;0.00000;12.84168;0.00000;12.84078;12.80976;12.80563;12.71359;12.69428;11.29253;11.27489;0.00000;8.29926;8.25090;0.00000;7.46766;7.41573;7.21558;7.10497;6.92783;6.18521;0.00000;6.14514;0.00000;6.09345;5.99285;5.93158;0.00000;5.86445;5.83081;0.00000;5.73680;4.43936;0.00000;4.04186;3.79910;0.00000;3.16067;0.00000;2.16936;0.45899;0.41305;0.03013;0.00000;0.00000;0.00000;0.00000;1.56222;1.55298;0.00000;1.47560;1.44339;1.37065;1.31993;1.25795;0.00000;1.22678;1.05159;1.04840;1.00407;0.00000;0.94239;0.00000;0.87263;0.51762;0.32970;0.26929;0.24925;0.20380;0.17409;0.00000;0.14888;0.00000;0.13745;0.00000;0.12979;0.00000;0.12025;0.00606;0.00000;0.00104;0.00000;0.00000;0.11353;0.00000;0.10814;0.09976;0.07268;0.01310;0.00000;0.00182;0.00000;0.00000;0.00000;0.00000;0.00533;0.00000;0.00000;0.00000;0.03272;0.00000;0.00796;0.00000;0.00000;0.00000;0.03068;0.00000;0.01729;0.00000;0.00892;0.00529;0.00279;0.00000;0.00000;0.00000;0.00000;0.00000;0.25523;0.19881;0.13586;0.16738;0.16638;0.01151;0.00326;0.00000;0.14203;0.01287;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.05296;0.00000;0.00000;0.00000;0.00000;0.00000;1.22494;1.18006;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-02 00:00;7.71914;7.71806;0.00000;7.69595;0.04037;0.00000;0.00000;7.56244;0.00000;7.54942;0.00000;7.53359;0.00000;7.50868;0.00000;7.50747;7.47938;0.00000;7.44196;7.41219;0.00000;7.40000;0.00053;0.00000;0.00000;7.38280;0.00000;7.37248;7.30386;0.00000;7.26134;0.00000;7.24449;0.00000;7.22991;0.00000;7.22804;7.15274;7.14393;7.01849;6.93267;6.30861;6.25422;0.00000;4.03644;3.95393;0.00000;3.25799;3.16887;2.93216;2.73392;2.69185;2.49130;0.00000;2.46702;0.00000;2.44587;2.39483;2.38473;0.00000;2.35292;2.33915;0.00000;2.29846;1.98073;0.00000;1.88780;1.82726;0.00000;1.67594;0.00000;1.39708;0.11259;0.09904;0.02568;0.00000;0.00000;0.00000;0.00000;1.21637;1.20680;0.00000;1.13966;1.10802;1.05403;1.00390;0.95291;0.00000;0.92595;0.81130;0.80806;0.78300;0.00000;0.74263;0.00000;0.67288;0.39220;0.25939;0.20483;0.18732;0.15315;0.13001;0.00000;0.10586;0.00000;0.09646;0.00000;0.09096;0.00000;0.08435;0.00475;0.00000;0.00045;0.00000;0.00000;0.07917;0.00000;0.07474;0.06716;0.04465;0.00664;0.00000;0.00126;0.00000;0.00000;0.00000;0.00000;0.00378;0.00000;0.00000;0.00000;0.02300;0.00000;0.00638;0.00000;0.00000;0.00000;0.02456;0.00000;0.01389;0.00000;0.00593;0.00391;0.00232;0.00000;0.00000;0.00000;0.00000;0.00000;0.24165;0.20707;0.15178;0.16064;0.16006;0.01108;0.00294;0.00000;0.14356;0.00896;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.03801;0.00000;0.00000;0.00000;0.00000;0.00000;0.27648;0.26970;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-03 00:00;5.98471;5.98450;0.00000;5.95843;0.11928;0.00000;0.00000;5.76978;0.00000;5.76260;0.00000;5.75168;0.00000;5.73944;0.00000;5.73893;5.72685;0.00000;5.71200;5.69066;0.00000;5.68500;0.00135;0.00000;0.00000;5.67686;0.00000;5.66726;5.59322;0.00000;5.55453;0.00000;5.54540;0.00000;5.54087;0.00000;5.53890;5.48621;5.47712;5.35150;5.31922;5.13124;5.11150;0.00000;2.49760;2.34951;0.00000;1.88012;1.74214;1.57520;1.28737;1.28066;1.25090;0.00000;1.24315;0.00000;1.23682;1.22085;1.21911;0.00000;1.20874;1.20435;0.00000;1.19117;1.13688;0.00000;1.11474;1.09850;0.00000;1.07370;0.00000;1.00835;0.05736;0.05001;0.02202;0.00000;0.00000;0.00000;0.00000;0.90437;0.89704;0.00000;0.85026;0.82633;0.79146;0.75500;0.71429;0.00000;0.69867;0.62042;0.61762;0.60100;0.00000;0.56761;0.00000;0.51383;0.26673;0.16042;0.11514;0.10061;0.08079;0.07296;0.00000;0.05433;0.00000;0.04944;0.00000;0.04625;0.00000;0.04255;0.00309;0.00000;0.00037;0.00000;0.00000;0.03913;0.00000;0.03609;0.03039;0.01741;0.00416;0.00000;0.00109;0.00000;0.00000;0.00000;0.00000;0.00194;0.00000;0.00000;0.00000;0.01130;0.00000;0.00202;0.00000;0.00000;0.00000;0.02067;0.00000;0.01121;0.00000;0.00421;0.00326;0.00196;0.00000;0.00000;0.00000;0.00000;0.00000;0.22312;0.19926;0.15793;0.15102;0.15065;0.00887;0.00225;0.00000;0.13872;0.00509;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.02303;0.00000;0.00000;0.00000;0.00000;0.00000;0.04010;0.03860;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-04 00:00;3.04049;3.03973;0.00000;3.01845;0.05833;0.00000;0.00000;2.88129;0.00000;2.87127;0.00000;2.85468;0.00000;2.83577;0.00000;2.83491;2.81376;0.00000;2.78650;2.76112;0.00000;2.75201;0.00053;0.00000;0.00000;2.73968;0.00000;2.73238;2.67980;0.00000;2.64588;0.00000;2.63374;0.00000;2.62373;0.00000;2.62202;2.55750;2.54735;2.42703;2.36661;2.31314;2.27301;0.00000;1.19507;1.14260;0.00000;1.06488;1.01937;0.98947;0.92054;0.91894;0.90989;0.00000;0.90774;0.00000;0.90588;0.90137;0.90080;0.00000;0.89759;0.89618;0.00000;0.89162;0.87041;0.00000;0.86142;0.85446;0.00000;0.84135;0.00000;0.80418;0.04912;0.04260;0.01807;0.00000;0.00000;0.00000;0.00000;0.72232;0.71697;0.00000;0.68235;0.66511;0.63845;0.61430;0.58708;0.00000;0.57561;0.51650;0.51407;0.50001;0.00000;0.47017;0.00000;0.43059;0.20274;0.11749;0.08383;0.07353;0.05884;0.04948;0.00000;0.03881;0.00000;0.03557;0.00000;0.03335;0.00000;0.02992;0.00184;0.00000;0.00027;0.00000;0.00000;0.02783;0.00000;0.02623;0.02230;0.01488;0.00373;0.00000;0.00083;0.00000;0.00000;0.00000;0.00000;0.00209;0.00000;0.00000;0.00000;0.00967;0.00000;0.00186;0.00000;0.00000;0.00000;0.01814;0.00000;0.00990;0.00000;0.00400;0.00293;0.00174;0.00000;0.00000;0.00000;0.00000;0.00000;0.20738;0.18813;0.15762;0.14295;0.14257;0.00665;0.00126;0.00000;0.13302;0.00459;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01780;0.00000;0.00000;0.00000;0.00000;0.00000;0.01652;0.01594;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-05 00:00;1.55053;1.55013;0.00000;1.53733;0.02131;0.00000;0.00000;1.47437;0.00000;1.46885;0.00000;1.45863;0.00000;1.44940;0.00000;1.44892;1.43739;0.00000;1.42262;1.40929;0.00000;1.40458;0.00036;0.00000;0.00000;1.39805;0.00000;1.39453;1.37030;0.00000;1.35473;0.00000;1.34856;0.00000;1.34325;0.00000;1.34227;1.29913;1.29257;1.21403;1.18405;1.15945;1.13910;0.00000;0.86281;0.85423;0.00000;0.84285;0.83793;0.82917;0.81868;0.81721;0.80990;0.00000;0.80878;0.00000;0.80783;0.80552;0.80513;0.00000;0.80329;0.80235;0.00000;0.79928;0.78006;0.00000;0.77394;0.76916;0.00000;0.75692;0.00000;0.72512;0.04829;0.04153;0.01713;0.00000;0.00000;0.00000;0.00000;0.65067;0.64708;0.00000;0.62068;0.60615;0.58153;0.55882;0.54378;0.00000;0.53350;0.47820;0.47588;0.46171;0.00000;0.43277;0.00000;0.40659;0.18872;0.10683;0.07392;0.06296;0.04947;0.04265;0.00000;0.03750;0.00000;0.03450;0.00000;0.03218;0.00000;0.02909;0.00172;0.00000;0.00038;0.00000;0.00000;0.02711;0.00000;0.02501;0.02130;0.01403;0.00402;0.00000;0.00111;0.00000;0.00000;0.00000;0.00000;0.00176;0.00000;0.00000;0.00000;0.00843;0.00000;0.00147;0.00000;0.00000;0.00000;0.01753;0.00000;0.00852;0.00000;0.00384;0.00297;0.00184;0.00000;0.00000;0.00000;0.00000;0.00000;0.19645;0.18062;0.15545;0.13638;0.13602;0.00507;0.00098;0.00000;0.12783;0.00465;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01650;0.00000;0.00000;0.00000;0.00000;0.00000;0.01648;0.01596;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-06 00:00;1.11574;1.11562;0.00000;1.10668;0.01820;0.00000;0.00000;1.06666;0.00000;1.06411;0.00000;1.05984;0.00000;1.05629;0.00000;1.05608;1.05111;0.00000;1.04522;1.03904;0.00000;1.03718;0.00035;0.00000;0.00000;1.03466;0.00000;1.03322;1.02219;0.00000;1.01579;0.00000;1.01339;0.00000;1.01153;0.00000;1.01083;0.98160;0.97854;0.92477;0.91503;0.89536;0.88855;0.00000;0.80532;0.80312;0.00000;0.79460;0.79268;0.78786;0.78023;0.77869;0.77169;0.00000;0.77094;0.00000;0.77028;0.76867;0.76834;0.00000;0.76696;0.76621;0.00000;0.76373;0.74428;0.00000;0.73939;0.73557;0.00000;0.72389;0.00000;0.69507;0.04619;0.03930;0.01526;0.00000;0.00000;0.00000;0.00000;0.62540;0.62176;0.00000;0.60002;0.58699;0.56323;0.54462;0.53040;0.00000;0.51963;0.46627;0.46408;0.44987;0.00000;0.42244;0.00000;0.39166;0.18335;0.10761;0.08021;0.07085;0.05686;0.04710;0.00000;0.03960;0.00000;0.03639;0.00000;0.03415;0.00000;0.03060;0.00187;0.00000;0.00029;0.00000;0.00000;0.02848;0.00000;0.02689;0.02339;0.01572;0.00395;0.00000;0.00087;0.00000;0.00000;0.00000;0.00000;0.00220;0.00000;0.00000;0.00000;0.00964;0.00000;0.00205;0.00000;0.00000;0.00000;0.01514;0.00000;0.00726;0.00000;0.00394;0.00279;0.00172;0.00000;0.00000;0.00000;0.00000;0.00000;0.18805;0.17392;0.15262;0.13060;0.13021;0.00409;0.00075;0.00000;0.12295;0.00479;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01566;0.00000;0.00000;0.00000;0.00000;0.00000;0.01745;0.01693;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-07 00:00;0.99942;0.99937;0.00000;0.99176;0.01736;0.00000;0.00000;0.95792;0.00000;0.95609;0.00000;0.95292;0.00000;0.95066;0.00000;0.95050;0.94707;0.00000;0.94330;0.93925;0.00000;0.93806;0.00034;0.00000;0.00000;0.93644;0.00000;0.93547;0.92755;0.00000;0.92354;0.00000;0.92199;0.00000;0.92089;0.00000;0.92026;0.89473;0.89252;0.85903;0.85368;0.83504;0.83121;0.00000;0.78589;0.78438;0.00000;0.77580;0.77388;0.76892;0.76282;0.76127;0.75443;0.00000;0.75358;0.00000;0.75282;0.75099;0.75064;0.00000;0.74910;0.74829;0.00000;0.74563;0.72596;0.00000;0.72064;0.71646;0.00000;0.70508;0.00000;0.67590;0.04656;0.03978;0.01678;0.00000;0.00000;0.00000;0.00000;0.60521;0.60192;0.00000;0.57853;0.56510;0.54333;0.52213;0.50954;0.00000;0.49913;0.44852;0.44627;0.43197;0.00000;0.40476;0.00000;0.37709;0.17761;0.10285;0.07478;0.06390;0.05025;0.04325;0.00000;0.03757;0.00000;0.03448;0.00000;0.03215;0.00000;0.02904;0.00173;0.00000;0.00036;0.00000;0.00000;0.02704;0.00000;0.02499;0.02155;0.01410;0.00398;0.00000;0.00106;0.00000;0.00000;0.00000;0.00000;0.00178;0.00000;0.00000;0.00000;0.00855;0.00000;0.00153;0.00000;0.00000;0.00000;0.01345;0.00000;0.00502;0.00000;0.00366;0.00280;0.00180;0.00000;0.00000;0.00000;0.00000;0.00000;0.18079;0.16857;0.14930;0.12497;0.12461;0.00342;0.00106;0.00000;0.11802;0.00467;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01339;0.00000;0.00000;0.00000;0.00000;0.00000;0.01740;0.01687;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-08 00:00;0.95628;0.95626;0.00000;0.94939;0.01638;0.00000;0.00000;0.91881;0.00000;0.91730;0.00000;0.91516;0.00000;0.91333;0.00000;0.91319;0.91045;0.00000;0.90760;0.90392;0.00000;0.90301;0.00035;0.00000;0.00000;0.90179;0.00000;0.90099;0.89434;0.00000;0.89088;0.00000;0.88971;0.00000;0.88896;0.00000;0.88834;0.86497;0.86341;0.82847;0.82455;0.80617;0.80337;0.00000;0.76127;0.76017;0.00000;0.75180;0.75038;0.74598;0.74084;0.73919;0.73276;0.00000;0.73212;0.00000;0.73159;0.73025;0.72995;0.00000;0.72875;0.72805;0.00000;0.72576;0.70621;0.00000;0.70183;0.69843;0.00000;0.68714;0.00000;0.66069;0.04519;0.03826;0.01504;0.00000;0.00000;0.00000;0.00000;0.59381;0.59037;0.00000;0.56942;0.55757;0.53477;0.51738;0.50308;0.00000;0.49236;0.44284;0.44073;0.42657;0.00000;0.40058;0.00000;0.36969;0.17614;0.10704;0.08115;0.07185;0.05752;0.04744;0.00000;0.03975;0.00000;0.03652;0.00000;0.03424;0.00000;0.03065;0.00191;0.00000;0.00029;0.00000;0.00000;0.02849;0.00000;0.02696;0.02373;0.01593;0.00397;0.00000;0.00084;0.00000;0.00000;0.00000;0.00000;0.00224;0.00000;0.00000;0.00000;0.00991;0.00000;0.00214;0.00000;0.00000;0.00000;0.01406;0.00000;0.00679;0.00000;0.00387;0.00269;0.00168;0.00000;0.00000;0.00000;0.00000;0.00000;0.17506;0.16466;0.14566;0.11993;0.11953;0.00298;0.00084;0.00000;0.11330;0.00486;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01506;0.00000;0.00000;0.00000;0.00000;0.00000;0.01782;0.01727;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-09 00:00;0.93566;0.93564;0.00000;0.92950;0.01456;0.00000;0.00000;0.90209;0.00000;0.90069;0.00000;0.89787;0.00000;0.89608;0.00000;0.89594;0.89332;0.00000;0.89060;0.88734;0.00000;0.88647;0.00033;0.00000;0.00000;0.88532;0.00000;0.88461;0.87883;0.00000;0.87580;0.00000;0.87467;0.00000;0.87387;0.00000;0.87327;0.85061;0.84845;0.81734;0.81310;0.79547;0.79238;0.00000;0.75090;0.74945;0.00000;0.74108;0.73919;0.73452;0.72983;0.72836;0.72197;0.00000;0.72111;0.00000;0.72033;0.71843;0.71808;0.00000;0.71652;0.71572;0.00000;0.71310;0.69369;0.00000;0.68835;0.68413;0.00000;0.67314;0.00000;0.64526;0.04476;0.03812;0.01619;0.00000;0.00000;0.00000;0.00000;0.57664;0.57305;0.00000;0.54995;0.53699;0.51480;0.49398;0.48134;0.00000;0.47086;0.42541;0.42319;0.40902;0.00000;0.38297;0.00000;0.35539;0.16977;0.10262;0.07415;0.06330;0.04972;0.04264;0.00000;0.03695;0.00000;0.03384;0.00000;0.03159;0.00000;0.02850;0.00170;0.00000;0.00035;0.00000;0.00000;0.02655;0.00000;0.02455;0.02117;0.01383;0.00388;0.00000;0.00103;0.00000;0.00000;0.00000;0.00000;0.00177;0.00000;0.00000;0.00000;0.00850;0.00000;0.00154;0.00000;0.00000;0.00000;0.01394;0.00000;0.00618;0.00000;0.00354;0.00270;0.00176;0.00000;0.00000;0.00000;0.00000;0.00000;0.16983;0.15975;0.14179;0.11488;0.11452;0.00262;0.00105;0.00000;0.10881;0.00462;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01405;0.00000;0.00000;0.00000;0.00000;0.00000;0.01714;0.01663;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
2020-01-10 00:00;0.90067;0.90065;0.00000;0.89473;0.01429;0.00000;0.00000;0.86790;0.00000;0.86652;0.00000;0.86436;0.00000;0.86247;0.00000;0.86234;0.85980;0.00000;0.85716;0.85363;0.00000;0.85277;0.00034;0.00000;0.00000;0.85161;0.00000;0.85083;0.84457;0.00000;0.84114;0.00000;0.84000;0.00000;0.83922;0.00000;0.83861;0.81674;0.81514;0.78286;0.77868;0.76139;0.75838;0.00000;0.71827;0.71696;0.00000;0.70895;0.70727;0.70282;0.69779;0.69630;0.69048;0.00000;0.68976;0.00000;0.68914;0.68762;0.68730;0.00000;0.68600;0.68529;0.00000;0.68297;0.66423;0.00000;0.65967;0.65613;0.00000;0.64541;0.00000;0.62019;0.04271;0.03606;0.01429;0.00000;0.00000;0.00000;0.00000;0.55574;0.55243;0.00000;0.53203;0.52060;0.49854;0.48152;0.46811;0.00000;0.45772;0.41422;0.41213;0.39828;0.00000;0.37367;0.00000;0.34414;0.16332;0.10155;0.07727;0.06805;0.05424;0.04490;0.00000;0.03774;0.00000;0.03470;0.00000;0.03250;0.00000;0.02904;0.00182;0.00000;0.00028;0.00000;0.00000;0.02697;0.00000;0.02548;0.02239;0.01491;0.00386;0.00000;0.00081;0.00000;0.00000;0.00000;0.00000;0.00214;0.00000;0.00000;0.00000;0.00944;0.00000;0.00196;0.00000;0.00000;0.00000;0.01242;0.00000;0.00573;0.00000;0.00370;0.00260;0.00163;0.00000;0.00000;0.00000;0.00000;0.00000;0.16477;0.15549;0.13770;0.11047;0.11008;0.00238;0.00081;0.00000;0.10455;0.00467;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.01428;0.00000;0.00000;0.00000;0.00000;0.00000;0.01686;0.01634;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000;0.00000
