Temperature eau (C);TEMP EAU CEQUEAU ( VERSION 4.4.0.0000 )
date heure\troncon;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196
2020-01-01 00:00;0.414;0.418;1.034;0.418;0.616;0.611;0.886;0.417;1.308;0.420;0.851;0.420;2.908;0.420;2.954;0.421;0.421;2.444;0.421;0.422;1.400;0.423;2.248;2.397;2.233;0.424;0.685;0.424;0.424;0.639;0.426;1.008;0.427;3.547;0.428;2.073;0.428;0.427;0.429;0.430;0.431;0.488;0.488;0.020;0.663;0.676;0.016;0.752;0.761;0.785;0.803;0.833;0.872;0.526;0.872;0.531;0.873;0.874;0.877;0.545;0.879;0.879;0.530;0.883;0.977;0.520;1.013;1.044;0.519;1.152;0.518;1.210;0.737;0.696;0.717;1.920;1.317;0.633;1.900;1.643;1.668;1.108;1.679;1.705;1.715;1.715;1.755;1.567;1.762;1.780;1.848;1.859;1.704;1.862;1.921;1.915;1.825;2.032;2.053;2.023;1.943;1.913;1.096;1.992;2.248;1.983;1.699;1.977;0.914;1.971;1.890;1.666;1.981;2.671;0.854;1.920;2.150;1.889;1.847;1.783;2.096;1.928;2.973;3.437;3.672;1.640;2.115;1.822;2.970;1.813;2.036;1.971;1.569;1.852;1.705;2.108;2.704;1.835;2.579;1.569;1.005;1.961;2.155;2.606;2.493;2.009;1.149;1.400;1.279;2.140;2.609;2.897;3.564;2.878;0.833;0.500;1.380;3.160;3.272;2.380;2.131;1.307;1.236;1.723;1.418;1.096;1.722;1.708;1.359;1.153;1.110;1.789;0.527;0.540;0.537;0.528;0.698;0.529;0.550;0.535;0.532;0.514;0.050;0.101;0.021;0.060;0.082;0.813;0.024;3.289;0.386;0.879;0.979;0.922;0.946;1.243
2020-01-02 00:00;0.621;0.625;0.834;0.624;0.534;0.532;0.428;0.625;0.132;0.626;0.691;0.626;0.000;0.626;0.000;0.626;0.626;0.000;0.626;0.626;0.904;0.627;0.000;0.000;0.000;0.627;0.355;0.627;0.627;0.608;0.628;0.659;0.630;0.000;0.629;0.000;0.630;0.629;0.630;0.633;0.634;0.698;0.698;0.033;1.125;1.181;0.021;1.499;1.557;1.694;1.833;1.946;1.941;2.193;1.949;2.204;1.955;1.960;1.974;2.297;1.974;1.982;2.160;1.985;1.999;2.052;2.007;2.018;2.049;2.024;2.044;2.021;2.383;2.397;2.399;2.624;2.854;2.486;2.478;1.987;1.981;2.811;1.969;1.950;1.908;1.896;1.835;2.791;1.806;1.758;1.656;1.623;2.860;1.611;2.502;1.516;2.121;1.917;1.974;2.073;2.210;2.203;2.700;2.164;2.048;2.176;2.768;2.187;2.743;2.203;2.578;2.740;2.310;2.590;2.613;2.266;2.481;2.278;2.297;2.322;1.468;2.179;0.000;0.000;0.115;2.619;2.523;2.706;2.069;2.798;2.718;2.346;2.871;2.481;2.773;2.551;2.016;2.528;1.921;2.670;2.718;2.425;2.238;2.009;2.341;2.658;3.065;2.921;2.687;0.508;0.090;0.220;0.000;0.208;2.414;2.000;2.898;0.014;0.000;1.544;2.426;3.037;2.946;2.572;2.781;2.661;2.650;2.642;2.838;2.820;2.850;2.779;2.123;1.999;2.002;1.977;2.441;2.204;2.374;2.199;2.234;2.017;1.910;0.091;0.029;0.051;0.078;0.549;0.070;0.000;0.408;0.645;0.796;0.728;0.635;0.951
2020-01-03 00:00;2.540;2.550;2.537;2.550;2.473;2.468;2.508;2.552;3.190;2.556;2.818;2.556;2.350;2.556;2.350;2.552;2.552;2.350;2.553;2.554;2.765;2.555;2.561;2.350;2.350;2.556;2.586;2.553;2.555;2.457;2.558;2.640;2.560;2.350;2.558;2.350;2.559;2.559;2.560;2.560;2.561;2.567;2.566;2.338;2.776;2.854;2.361;2.978;3.022;3.069;3.214;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;4.968;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;4.853;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;5.000;4.759;2.401;2.399;2.365;2.390;2.690;2.485;2.350;2.565;2.686;2.589;2.482;2.841;2.633
2020-01-04 00:00;0.578;0.544;1.213;0.541;0.701;0.703;0.757;0.532;0.000;0.503;1.061;0.497;0.498;0.493;0.000;0.494;0.494;0.000;0.484;0.472;1.018;0.463;0.000;0.000;0.000;0.459;0.230;0.462;0.457;0.838;0.440;0.672;0.428;0.000;0.428;0.000;0.423;0.415;0.393;0.364;0.348;0.311;0.303;0.299;0.264;0.285;0.347;0.307;0.364;0.434;0.583;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;1.290;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.796;0.750;0.750;0.750;0.750;1.080;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;1.463;0.750;0.750;0.750;0.750;0.750;1.655;0.750;0.750;0.750;0.750;0.750;1.679;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;1.951;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.799;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.750;0.695;0.277;0.242;0.172;0.194;0.490;0.451;0.000;0.985;1.117;1.243;0.903;0.350;1.284
2020-01-05 00:00;0.000;0.000;1.532;0.000;0.675;0.752;0.000;0.000;0.000;0.000;0.514;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.631;0.000;0.000;0.000;0.000;0.000;0.000;0.012;0.000;0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.643;0.000;0.000;0.000;0.000;0.000;0.639;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.606;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.148;0.548;1.238;1.274;0.000;1.053
2020-01-06 00:00;0.000;0.000;1.360;0.000;0.119;0.243;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.449;0.000;0.000;0.000;0.000;0.000;0.000;0.007;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.499;0.000;0.000;0.000;0.000;0.000;0.556;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.714;0.000;1.088;1.129;0.000;0.736
2020-01-07 00:00;0.000;0.000;1.470;0.000;0.635;0.715;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.510;0.000;0.000;0.000;0.000;0.000;0.000;0.017;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.388;0.000;0.124;0.000;0.000;0.000;0.000;0.000;0.023;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.024;0.000;0.000;0.000;0.000;0.240;1.035;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.230;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.707;0.000;1.283;1.295;0.000;1.107
2020-01-08 00:00;0.000;0.002;1.535;0.000;0.893;0.946;0.521;0.000;0.000;0.000;0.060;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.937;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.590;0.000;0.640;0.000;0.000;0.000;0.000;0.023;0.000;0.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.242;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.569;0.000;0.497;0.000;0.000;0.000;0.000;0.000;0.394;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.681;0.000;0.000;0.000;0.000;0.000;1.015;0.000;0.000;0.000;0.000;0.000;1.082;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.842;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.564;0.000;0.523;0.000;0.000;0.000;0.000;0.000;0.501;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.366;0.000;0.000;1.113;0.291;1.392;1.398;0.000;1.333
2020-01-09 00:00;0.000;0.000;1.012;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.283;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.774;0.676;0.000;0.000
2020-01-10 00:00;0.000;0.000;1.399;0.000;0.525;0.610;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.105;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.554;0.000;0.000;0.000;0.000;0.000;0.000;0.016;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.852;0.000;0.000;0.000;0.000;0.000;0.919;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.888;0.000;1.265;1.242;0.000;1.146
