IdUhrh;Annee;Mois;Jour;Heure;Apport (mm);Evp (mm);Wetsep (m3);Wetvol (m3);Wetflwi (m3);Wetflwo (m3);Wetprod (mm)
2;2020;1;1;0;1.50;0.19;458.87469;8554.52051;510.78967;154.05782;0.77
4;2020;1;1;0;1.49;0.19;58.26017;77.75639;44.40480;0.00000;0.23
11;2020;1;1;0;1.49;0.19;88.20657;0.00000;21.67592;0.00000;0.24
13;2020;1;1;0;1.55;0.19;39.20836;101.40302;31.40578;0.00000;0.04
17;2020;1;1;0;1.58;0.19;75.99599;1500.67456;101.31013;38.74162;0.19
19;2020;1;1;0;1.58;0.19;0.44921;0.00000;0.09917;0.00000;0.00
26;2020;1;1;0;1.58;0.19;155.05716;0.00000;65.20137;0.00000;0.38
2;2020;1;2;0;3.57;0.67;457.94247;8921.13965;898.26483;194.79326;0.82
4;2020;1;2;0;4.00;0.67;56.46679;110.59737;72.37517;0.00000;0.22
11;2020;1;2;0;3.91;0.67;0.00000;42.40376;42.40376;0.00000;0.00
13;2020;1;2;0;3.93;0.67;38.79053;129.65913;55.65040;0.00000;0.04
17;2020;1;2;0;4.01;0.67;75.92199;1575.99890;175.49890;47.11098;0.20
19;2020;1;2;0;3.94;0.67;0.00000;0.21437;0.21437;0.00000;0.00
26;2020;1;2;0;3.92;0.67;0.00000;133.51482;133.51482;0.00000;0.00
2;2020;1;3;0;13.23;0.36;464.81522;11328.71094;2830.64087;462.30118;1.16
4;2020;1;3;0;14.46;0.36;63.98941;315.04297;192.47153;0.00000;0.25
11;2020;1;3;0;14.46;0.36;105.37084;174.79822;112.68824;0.00000;0.29
13;2020;1;3;0;14.68;0.36;42.32732;308.41901;170.06267;0.00000;0.04
17;2020;1;3;0;14.78;0.36;77.25343;2017.09119;520.71490;96.12124;0.29
19;2020;1;3;0;14.79;0.36;0.50787;0.94600;0.62264;0.00000;0.00
26;2020;1;3;0;14.69;0.36;257.95724;564.10577;377.38864;0.00000;0.62
2;2020;1;4;0;1.36;0.25;505.95639;11051.01172;608.59149;431.44580;1.18
4;2020;1;4;0;0.12;0.25;92.78782;263.40741;41.36476;0.00000;0.36
11;2020;1;4;0;0.21;0.25;174.21291;27.64508;26.19378;0.00000;0.48
13;2020;1;4;0;0.28;0.25;57.57231;274.86703;23.38818;0.00000;0.06
17;2020;1;4;0;0.30;0.25;84.32587;1941.77405;95.68951;87.75267;0.29
19;2020;1;4;0;0.37;0.25;0.86023;0.20377;0.10255;0.00000;0.01
