ID; Superficie [km2]; Width PHYSITEL [m]; Width SWAT [m]; Depth SWAT [m]
1; 393.168800; 19.90; 46.49; 1.42
2; 391.661600; 19.85; 46.38; 1.42
3; 0.265600; 0.22; 0.58; 0.08
4; 391.387200; 19.84; 46.36; 1.42
5; 1.613600; 0.66; 1.72; 0.16
6; 1.593600; 0.65; 1.71; 0.16
7; 0.013200; 0.03; 0.10; 0.02
8; 389.637600; 19.79; 46.24; 1.41
9; 0.214400; 0.19; 0.51; 0.07
10; 388.522400; 19.75; 46.16; 1.41
11; 0.526400; 0.33; 0.88; 0.10
12; 387.947200; 19.73; 46.12; 1.41
13; 0.372000; 0.27; 0.71; 0.09
14; 387.537600; 19.72; 46.09; 1.41
15; 0.183600; 0.17; 0.47; 0.07
16; 386.609200; 19.69; 46.02; 1.41
17; 386.512400; 19.69; 46.01; 1.41
18; 0.774400; 0.42; 1.11; 0.12
19; 385.607600; 19.66; 45.95; 1.41
20; 383.930800; 19.61; 45.83; 1.40
21; 0.351600; 0.26; 0.69; 0.09
22; 383.503200; 19.59; 45.80; 1.40
23; 0.440800; 0.29; 0.79; 0.09
24; 0.233600; 0.20; 0.54; 0.07
25; 0.202400; 0.18; 0.49; 0.07
26; 383.027600; 19.58; 45.76; 1.40
27; 0.432400; 0.29; 0.78; 0.09
28; 382.540000; 19.56; 45.73; 1.40
29; 382.207200; 19.55; 45.71; 1.40
30; 1.255600; 0.56; 1.48; 0.14
31; 380.659200; 19.50; 45.59; 1.40
32; 0.484000; 0.31; 0.83; 0.10
33; 380.007600; 19.48; 45.55; 1.40
34; 0.410400; 0.28; 0.76; 0.09
35; 379.545200; 19.47; 45.51; 1.40
36; 0.827600; 0.44; 1.15; 0.12
37; 378.682400; 19.44; 45.45; 1.40
38; 377.867200; 19.42; 45.39; 1.40
39; 376.898000; 19.38; 45.32; 1.39
40; 367.092000; 19.07; 44.61; 1.38
41; 366.620800; 19.06; 44.58; 1.38
42; 353.313600; 18.62; 43.60; 1.36
43; 352.821600; 18.61; 43.56; 1.36
44; 34.162400; 4.38; 10.73; 0.53
45; 318.159600; 17.45; 40.94; 1.30
46; 314.548000; 17.33; 40.66; 1.30
47; 8.050000; 1.79; 4.51; 0.30
48; 306.286400; 17.04; 40.02; 1.28
49; 305.370800; 17.01; 39.95; 1.28
50; 303.300000; 16.94; 39.78; 1.28
51; 301.467600; 16.88; 39.64; 1.28
52; 299.097600; 16.80; 39.45; 1.27
53; 293.729200; 16.61; 39.03; 1.26
54; 0.232000; 0.20; 0.54; 0.07
55; 293.315200; 16.59; 38.99; 1.26
56; 0.458000; 0.30; 0.81; 0.10
57; 292.730400; 16.57; 38.95; 1.26
58; 292.310800; 16.56; 38.91; 1.26
59; 291.060000; 16.51; 38.81; 1.26
60; 0.515600; 0.32; 0.87; 0.10
61; 290.539200; 16.50; 38.77; 1.26
62; 289.982800; 16.48; 38.73; 1.26
63; 0.744800; 0.41; 1.08; 0.12
64; 289.185600; 16.45; 38.66; 1.25
65; 275.298000; 15.95; 37.54; 1.23
66; 2.554400; 0.88; 2.26; 0.19
67; 272.089600; 15.84; 37.27; 1.22
68; 269.148800; 15.73; 37.03; 1.22
69; 5.292400; 1.38; 3.51; 0.25
70; 263.522000; 15.53; 36.57; 1.21
71; 2.175600; 0.79; 2.06; 0.18
72; 261.311200; 15.45; 36.38; 1.20
73; 16.490800; 2.79; 6.93; 0.40
74; 11.230800; 2.20; 5.51; 0.34
75; 8.685200; 1.87; 4.72; 0.31
76; 4.447600; 1.24; 3.16; 0.24
77; 1.582800; 0.65; 1.70; 0.16
78; 2.352800; 0.83; 2.16; 0.18
79; 4.324800; 1.21; 3.11; 0.23
80; 238.553600; 14.60; 34.45; 1.16
81; 230.969600; 14.31; 33.78; 1.15
82; 2.714000; 0.91; 2.35; 0.19
83; 227.732400; 14.18; 33.50; 1.14
