UhrhId; NbPixel; NbPixelIsole; NbPixelRiverain; NbPixelDraineIsole; NbPixelDraineRiverain; NbPixelDraineCommun; NbPixelIsoleDansRiverain
1;1778;0;24;0;363;0;0
2;1993;0;8;0;12;760;112
3;3;0;0;0;0;0;0
4;645;58;0;22;0;0;0
5;18;0;0;0;0;0;0
6;5;0;0;0;0;0;0
7;18;0;0;0;0;0;0
8;330;0;0;0;0;0;0
9;6;0;0;0;0;0;0
10;11;0;0;0;0;0;0
11;906;213;0;19;0;0;0
12;695;0;0;0;0;0;0
13;2385;28;0;26;0;0;0
14;4;0;0;0;0;0;0
15;30;0;0;0;0;0;0
16;2;0;0;0;0;0;0
17;1502;18;0;147;0;0;0
18;720;0;0;0;0;0;0
19;304;1;0;0;0;0;0
20;164;0;0;0;0;0;0
21;70;0;0;0;0;0;0
22;29;0;0;0;0;0;0
23;111;0;0;0;0;0;0
24;121;0;0;0;0;0;0
25;170;0;0;0;0;0;0
26;1033;454;0;43;0;0;0
27;29;0;0;0;0;0;0
28;52;0;0;0;0;0;0
29;87;0;0;0;0;0;0
30;148;0;0;0;0;0;0
31;701;213;0;56;0;0;0
32;76;0;0;0;0;0;0
33;1792;0;0;0;0;0;0
34;114;0;0;0;0;0;0
35;131;0;0;0;0;0;0
36;219;0;0;0;0;0;0
37;1;0;0;0;0;0;0
38;229;0;0;0;0;0;0
39;94;0;0;0;0;0;0
40;214;0;0;0;0;0;0
41;840;12;0;1;0;0;0
42;884;46;0;34;0;0;0
43;98;0;0;0;0;0;0
44;209;0;0;0;0;0;0
45;95;0;0;0;0;0;0
46;95;0;0;0;0;0;0
47;5;0;0;0;0;0;0
48;14;0;0;0;0;0;0
49;862;64;0;9;0;0;0
50;25;0;0;0;0;0;0
51;62;0;0;0;0;0;0
52;2;0;0;0;0;0;0
53;5;0;0;0;0;0;0
54;128;0;0;0;0;0;0
55;76;0;0;0;0;0;0
56;383;0;0;0;0;0;0
57;51;0;0;0;0;0;0
58;377;0;0;0;0;0;0
59;81;0;0;0;0;0;0
60;35;0;0;0;0;0;0
61;98;0;0;0;0;0;0
62;51;0;0;0;0;0;0
63;80;0;0;0;0;0;0
64;952;0;0;0;0;0;0
65;32;0;0;0;0;0;0
66;27;0;0;0;0;0;0
67;387;0;0;0;0;0;0
68;344;0;0;0;0;0;0
69;1;0;0;0;0;0;0
70;3138;137;0;240;0;0;0
71;105;0;0;0;0;0;0
72;314;0;0;0;0;0;0
73;15;0;0;0;0;0;0
74;18;0;0;0;0;0;0
75;1179;10;0;1;0;0;0
76;27;0;0;0;0;0;0
77;91;0;0;0;0;0;0
78;184;0;0;0;0;0;0
79;166;0;0;0;0;0;0
80;688;9;0;0;0;0;0
81;44;0;0;0;0;0;0
82;43;0;0;0;0;0;0
83;144;0;0;0;0;0;0
84;1159;0;0;0;0;0;0
85;769;6;0;33;0;0;0
86;2;0;0;0;0;0;0
87;562;0;0;0;0;0;0
88;673;0;0;0;0;0;0
89;13;0;0;0;0;0;0
90;23;0;0;0;0;0;0
91;123;0;0;0;0;0;0
92;136;0;0;0;0;0;0
93;1227;0;0;0;0;0;0
94;1477;0;0;0;0;0;0
95;39;0;0;0;0;0;0
96;70;0;0;0;0;0;0
97;891;0;0;0;0;0;0
98;344;0;0;0;0;0;0
99;1824;134;0;104;0;0;0
100;2322;198;0;611;0;0;0
101;81264;274;0;1012;0;0;0
102;6925;96;0;319;0;0;0
103;207;0;0;0;0;0;0
104;132;0;0;0;0;0;0
105;394;0;0;0;0;0;0
106;82;0;0;0;0;0;0
107;135;0;0;0;0;0;0
108;19913;14;0;50;0;0;0
109;516;0;0;0;0;0;0
110;279;0;0;0;0;0;0
111;275;0;0;0;0;0;0
112;430;0;0;0;0;0;0
113;462;0;0;0;0;0;0
114;545;0;0;0;0;0;0
115;878;0;0;0;0;0;0
116;685;0;0;0;0;0;0
117;23;0;0;0;0;0;0
118;38;0;0;0;0;0;0
119;187;0;0;0;0;0;0
120;256;0;0;0;0;0;0
121;193;0;0;0;0;0;0
122;83;0;0;0;0;0;0
123;306;0;0;0;0;0;0
124;163;0;0;0;0;0;0
125;155;0;0;0;0;0;0
126;532;0;0;0;0;0;0
127;120;0;0;0;0;0;0
128;502;0;0;0;0;0;0
129;54;0;0;0;0;0;0
130;84;0;0;0;0;0;0
131;336;0;0;0;0;0;0
132;1115;0;0;0;0;0;0
133;10;0;0;0;0;0;0
134;7;0;0;0;0;0;0
135;353;0;0;0;0;0;0
136;330;0;0;0;0;0;0
137;608;0;0;0;0;0;0
138;154;0;0;0;0;0;0
139;369;0;0;0;0;0;0
140;60;0;0;0;0;0;0
141;170;0;0;0;0;0;0
142;73;0;0;0;0;0;0
143;70;0;0;0;0;0;0
144;1721;0;0;0;0;0;0
145;266;0;0;0;37;0;0
146;283;0;12;0;6;0;0
147;909;0;0;0;0;0;0
148;692;0;0;0;0;0;0
149;135;0;0;0;0;0;0
150;759;0;0;0;0;0;0
151;5504;0;0;0;0;0;0
152;796;0;0;0;0;0;0
153;1871;0;0;0;0;0;0
154;387;0;0;0;0;0;0
155;446;0;0;0;0;0;0
156;412;0;0;0;0;0;0
157;280;0;0;0;0;0;0
158;12541;137;0;724;0;0;0
159;40;0;0;0;0;0;0
160;38;0;0;0;0;0;0
161;161;0;0;0;0;0;0
162;108;0;0;0;0;0;0
163;5178;30;0;51;0;0;0
164;12027;421;28;1008;466;0;0
165;3616;81;12;124;75;0;0
166;1335;0;13;0;1118;0;0
167;1000;0;74;0;680;0;1
168;152;0;14;0;59;0;0
169;219;0;11;0;26;0;0
170;2452;138;0;389;0;0;0
171;4271;1;0;0;0;0;0
172;3713;336;143;741;712;0;0
173;5294;742;236;1409;930;0;0
174;2133;621;0;563;0;0;0
175;387;0;19;0;73;0;0
176;3518;333;25;2625;99;0;1
177;53;0;0;0;53;0;0
178;2000;136;38;789;82;0;2
179;3366;154;23;422;64;1;2
180;521;0;3;0;118;365;35
181;6591;306;687;735;1108;49;87
182;4120;187;219;160;213;0;0
183;103;0;24;0;70;2;7
184;9346;477;14;719;755;0;0
185;7111;97;59;738;1176;117;39
186;485;0;7;0;381;0;0
187;768;0;12;0;5;0;0
188;341;0;0;0;0;0;0
189;1140;38;1;127;0;0;0
190;5306;781;0;2219;0;0;0
191;15545;1930;134;2167;1588;0;0
192;8557;226;189;877;3656;0;0
193;6096;0;154;0;3565;449;234
194;9500;393;278;1470;3625;76;158
195;72;0;22;0;50;0;0
196;51;0;23;0;28;0;0
197;10799;906;189;2355;3091;612;215
198;6829;158;250;184;3239;46;9
199;1837;0;228;0;1025;353;202
200;1451;0;65;0;1139;0;0
201;803;0;1;0;2;0;0
202;574;0;3;0;3;0;0
203;16684;1942;0;3319;0;0;0
204;303;0;28;0;112;0;0
205;1314;108;24;312;390;0;0
206;844;0;50;0;614;96;42
207;5789;248;125;408;1059;53;16
208;471;0;21;0;311;0;0
209;928;0;35;0;754;0;0
210;77;0;13;0;64;0;0
211;426;0;29;0;162;0;0
212;476;0;0;0;6;0;0
213;670;0;1;0;0;0;0
214;4450;11;0;2;0;0;0
215;959;0;63;0;896;0;0
216;6132;101;98;949;607;2;15
217;9363;1405;0;2224;0;0;0
218;5083;63;0;437;0;0;0
219;676;51;0;173;0;0;0
220;19411;3092;65;8656;1034;0;0
221;667;0;71;0;505;0;0
222;444;0;12;0;432;0;0
223;120;0;30;0;90;0;0
224;10687;36;58;62;1989;436;156
225;9871;303;181;990;932;0;0
226;9455;601;233;1623;1747;2;13
227;3458;45;171;34;558;268;168
228;4328;42;319;15;1603;43;109
229;6851;135;3127;193;2298;63;95
230;1413;22;23;14;191;0;0
231;2219;128;195;123;25;0;0
232;2193;0;865;0;946;98;217
233;2126;0;832;0;980;1;4
234;4593;1511;16;1490;74;0;0
235;302;7;7;5;46;0;0
236;1177;0;2;0;866;129;180
237;57;0;29;0;1;0;0
238;1401;221;0;75;0;0;0
239;1175;541;109;267;33;0;0
240;408;27;63;3;49;0;0
241;435;172;0;21;0;0;0
242;899;2;159;4;544;0;0
243;3343;1358;504;539;349;170;70
244;1139;0;540;0;302;0;0
245;1970;1;191;0;1329;110;77
246;764;0;545;0;203;1;15
247;105;0;33;0;70;0;1
248;100;0;43;0;43;0;1
249;3;0;3;0;0;0;0
250;43;0;18;0;25;0;0
251;2193;459;76;248;319;7;1
252;5553;2;2470;1;2215;72;87
253;297;0;120;0;176;0;0
254;132;0;130;0;0;0;0
255;1222;0;359;0;697;45;77
256;713;0;279;0;226;86;30
257;567;0;1;0;51;302;213
258;700;0;274;0;341;4;2
259;484;4;139;0;139;0;0
260;39;0;0;0;0;0;0
261;330;130;0;75;0;0;0
262;360;92;0;35;0;0;0
263;15;0;0;0;0;0;0
264;3;0;0;0;0;0;0
265;157;10;0;1;0;0;0
266;72;0;46;0;24;0;2
267;96;0;22;0;52;0;0
268;2120;349;228;85;244;405;558
269;381;0;23;0;75;0;0
270;1718;679;0;730;0;0;0
271;348;0;13;0;95;0;0
272;306;3;18;4;12;0;0
273;1365;271;0;548;0;0;0
274;1073;63;0;479;0;0;0
275;6197;965;320;1188;1611;8;64
276;4410;292;1062;139;638;0;7
277;1741;1;45;0;188;0;5
278;6081;1;3546;0;1115;42;30
279;3617;0;1923;0;741;59;32
280;3491;6;1287;0;689;113;88
281;2350;109;0;144;0;0;0
282;735;2;0;0;0;0;0
283;765;16;341;1;49;0;0
284;527;0;0;0;0;0;0
285;1885;414;0;581;0;0;0
286;1600;529;0;304;0;0;0
287;47;0;0;0;0;0;0
288;56;0;0;0;0;0;0
289;476;14;0;22;0;0;0
290;9554;4799;0;2992;0;0;0
291;8771;5025;0;1498;0;0;0
292;2097;1069;0;748;0;0;0
293;305;0;0;0;0;0;0
294;499;0;0;0;0;0;0
295;2011;818;0;439;0;0;0
296;165;20;0;77;0;0;0
297;159;0;112;0;21;0;0
298;6;0;6;0;0;0;0
299;153;0;132;0;10;0;0
300;267;0;218;0;49;0;0
301;664;24;93;10;314;40;37
302;2424;0;1122;0;1115;46;112
303;1120;336;0;169;0;0;0
304;476;0;131;0;240;5;97
305;4595;1476;407;1468;360;1;1
306;6059;2960;0;2740;0;176;183
307;1555;45;187;0;1090;0;9
308;1004;0;321;0;508;26;44
309;709;13;134;28;435;17;26
310;1030;4;120;24;463;218;172
311;996;0;263;0;444;121;168
312;9627;0;4262;0;4060;664;512
313;3189;0;1248;0;1561;108;90
314;197;0;113;0;62;0;0
315;593;0;190;0;252;0;0
316;3039;1171;0;1783;0;0;0
317;376;0;157;0;181;36;2
318;75;0;53;0;20;1;1
319;383;0;4;0;38;109;232
320;355;0;113;0;198;6;30
321;868;0;631;0;234;0;0
322;3233;1763;0;1425;0;11;34
323;1052;0;140;0;564;2;66
324;3271;220;107;480;905;0;0
325;630;0;313;0;315;0;0
326;1054;9;290;0;294;70;157
327;3003;2028;0;970;0;0;5
328;924;0;278;0;549;16;21
329;895;38;106;13;329;142;12
330;58;0;0;0;0;0;0
331;1315;454;0;593;0;0;0
332;121;0;0;0;0;0;0
333;238;0;0;0;85;0;0
334;98;0;5;0;0;0;0
335;71;0;0;0;0;0;0
336;74;0;0;0;0;0;0
337;400;0;54;0;275;47;13
338;191;0;33;0;98;1;13
339;372;0;83;0;272;0;2
340;773;0;137;0;178;426;22
341;1358;0;264;0;484;258;352
342;122;0;71;0;27;0;0
343;269;0;26;0;71;2;2
344;204;0;0;0;0;0;0
345;161;0;0;0;0;0;0
346;321;3;2;10;0;0;0
347;207;0;40;0;167;0;0
348;514;18;0;8;0;0;0
349;297;4;0;8;0;0;0
350;402;178;0;162;0;0;0
351;9566;1087;1043;1465;1284;66;41
352;7877;0;171;0;324;0;0
353;1100;0;113;0;149;611;227
354;1848;29;11;148;62;0;0
355;1537;0;22;0;141;0;0
356;773;56;0;0;0;0;0
357;614;18;0;25;0;0;0
