RESUMER ZONES HYDROTEL VERSION;4.3.1.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE (ratio); ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
1;SOUS-BASSIN;47.270653;0.026023;7;1778;0.711200;-74.18244;45.29459
2;SOUS-BASSIN;47.670998;0.028844;2;1993;0.797200;-74.18631;45.28903
3;SOUS-BASSIN;44.536610;0.062945;8;3;0.001200;-74.19204;45.29406
4;SOUS-BASSIN;48.206108;0.013780;7;645;0.258000;-74.18999;45.29827
5;SOUS-BASSIN;46.092575;0.030555;8;18;0.007200;-74.19224;45.29454
6;SOUS-BASSIN;47.277641;0.028257;2;5;0.002000;-74.19307;45.29447
7;SOUS-BASSIN;46.708908;0.053045;7;18;0.007200;-74.19333;45.29399
8;SOUS-BASSIN;48.667355;0.029645;2;330;0.132000;-74.19425;45.29102
9;SOUS-BASSIN;47.415501;0.035628;6;6;0.002400;-74.19421;45.29401
10;SOUS-BASSIN;46.757008;0.041865;1;11;0.004400;-74.19471;45.29390
11;SOUS-BASSIN;48.614975;0.009737;6;906;0.362400;-74.19474;45.29953
12;SOUS-BASSIN;48.643295;0.019796;2;695;0.278000;-74.19941;45.29698
13;SOUS-BASSIN;49.799549;0.011665;8;2385;0.954000;-74.20411;45.30471
14;SOUS-BASSIN;46.794163;0.047390;3;4;0.001600;-74.19411;45.29437
15;SOUS-BASSIN;46.983364;0.019313;7;30;0.012000;-74.19414;45.29496
16;SOUS-BASSIN;47.016869;0.038893;3;2;0.000800;-74.19347;45.29455
17;SOUS-BASSIN;48.718605;0.017088;7;1502;0.600800;-74.20461;45.29651
18;SOUS-BASSIN;47.762699;0.031441;3;720;0.288000;-74.19999;45.29114
19;SOUS-BASSIN;47.834061;0.007337;6;304;0.121600;-74.20830;45.29412
20;SOUS-BASSIN;47.589516;0.007331;1;164;0.065600;-74.20938;45.29283
21;SOUS-BASSIN;49.297581;0.006031;8;70;0.028000;-74.21114;45.29634
22;SOUS-BASSIN;47.012276;0.041552;7;29;0.011600;-74.20775;45.28991
23;SOUS-BASSIN;47.127647;0.030037;3;111;0.044400;-74.20704;45.28874
24;SOUS-BASSIN;47.567497;0.006984;6;121;0.048400;-74.21034;45.29239
25;SOUS-BASSIN;47.774094;0.007764;1;170;0.068000;-74.21169;45.29233
26;SOUS-BASSIN;49.977295;0.006713;8;1033;0.413200;-74.21419;45.29871
27;SOUS-BASSIN;47.181072;0.040006;8;29;0.011600;-74.21003;45.28921
28;SOUS-BASSIN;46.308140;0.046341;4;52;0.020800;-74.20911;45.28840
29;SOUS-BASSIN;47.155510;0.007243;6;87;0.034800;-74.21167;45.29079
30;SOUS-BASSIN;47.199280;0.010641;1;148;0.059200;-74.21248;45.28995
31;SOUS-BASSIN;49.878059;0.006702;8;701;0.280400;-74.21852;45.29651
32;SOUS-BASSIN;47.257473;0.031066;7;76;0.030400;-74.21206;45.28809
33;SOUS-BASSIN;48.277393;0.013023;5;1792;0.716800;-74.20554;45.28570
34;SOUS-BASSIN;47.726379;0.009830;6;114;0.045600;-74.21479;45.29062
35;SOUS-BASSIN;47.806351;0.007713;1;131;0.052400;-74.21640;45.29032
36;SOUS-BASSIN;49.077183;0.005273;8;219;0.087600;-74.21804;45.29318
37;SOUS-BASSIN;46.643002;0.100161;1;1;0.000400;-74.21422;45.28839
38;SOUS-BASSIN;47.811714;0.012578;8;229;0.091600;-74.21786;45.28972
39;SOUS-BASSIN;46.314537;0.053772;3;94;0.037600;-74.21621;45.28723
40;SOUS-BASSIN;48.452168;0.006550;6;214;0.085600;-74.22006;45.29029
41;SOUS-BASSIN;48.394333;0.009047;8;840;0.336000;-74.22330;45.28902
42;SOUS-BASSIN;50.147282;0.006657;7;884;0.353600;-74.22397;45.29544
43;SOUS-BASSIN;47.140213;0.034920;1;98;0.039200;-74.21897;45.28511
44;SOUS-BASSIN;46.844307;0.036718;5;209;0.083600;-74.21689;45.28444
45;SOUS-BASSIN;47.497646;0.035017;7;95;0.038000;-74.22138;45.28447
46;SOUS-BASSIN;46.437069;0.044712;3;95;0.038000;-74.22135;45.28350
47;SOUS-BASSIN;47.391518;0.032523;6;5;0.002000;-74.22372;45.28395
48;SOUS-BASSIN;46.963104;0.033795;1;14;0.005600;-74.22418;45.28372
49;SOUS-BASSIN;49.398212;0.007135;7;862;0.344800;-74.22806;45.29104
50;SOUS-BASSIN;47.475864;0.032584;1;25;0.010000;-74.22466;45.28302
51;SOUS-BASSIN;46.713776;0.041651;4;62;0.024800;-74.22368;45.28225
52;SOUS-BASSIN;47.680405;0.025488;7;2;0.000800;-74.22514;45.28252
53;SOUS-BASSIN;47.169067;0.031013;8;5;0.002000;-74.22512;45.28227
54;SOUS-BASSIN;47.961433;0.008465;6;128;0.051200;-74.22671;45.28538
55;SOUS-BASSIN;47.661774;0.009066;1;76;0.030400;-74.22717;45.28448
56;SOUS-BASSIN;49.492172;0.006405;8;383;0.153200;-74.23100;45.29048
57;SOUS-BASSIN;47.694828;0.008101;6;51;0.020400;-74.22746;45.28402
58;SOUS-BASSIN;48.660465;0.006327;8;377;0.150800;-74.23087;45.28714
59;SOUS-BASSIN;49.020275;0.005985;8;81;0.032400;-74.23089;45.28791
60;SOUS-BASSIN;47.377056;0.025395;8;35;0.014000;-74.22644;45.28150
61;SOUS-BASSIN;46.787380;0.053727;3;98;0.039200;-74.22576;45.28072
62;SOUS-BASSIN;47.438496;0.007528;6;51;0.020400;-74.22859;45.28251
63;SOUS-BASSIN;48.101974;0.012003;1;80;0.032000;-74.22949;45.28209
64;SOUS-BASSIN;49.117630;0.005850;8;952;0.380800;-74.23456;45.28818
65;SOUS-BASSIN;48.182858;0.017167;1;32;0.012800;-74.22889;45.28055
66;SOUS-BASSIN;46.703560;0.066896;4;27;0.010800;-74.22766;45.28001
67;SOUS-BASSIN;48.087925;0.017119;8;387;0.154800;-74.23204;45.27977
68;SOUS-BASSIN;47.549660;0.034109;3;344;0.137600;-74.23171;45.27690
69;SOUS-BASSIN;47.682079;0.044967;8;1;0.000400;-74.23606;45.27648
70;SOUS-BASSIN;48.789963;0.007801;7;3138;1.255200;-74.24042;45.28534
71;SOUS-BASSIN;47.854900;0.033643;8;105;0.042000;-74.23847;45.27556
72;SOUS-BASSIN;47.831787;0.026366;4;314;0.125600;-74.23748;45.27409
73;SOUS-BASSIN;48.023262;0.012551;6;15;0.006000;-74.24089;45.27492
74;SOUS-BASSIN;47.884460;0.010803;1;18;0.007200;-74.24145;45.27475
75;SOUS-BASSIN;48.462353;0.008235;8;1179;0.471600;-74.24498;45.28265
76;SOUS-BASSIN;47.976223;0.024514;6;27;0.010800;-74.24214;45.27470
77;SOUS-BASSIN;47.366787;0.049642;2;91;0.036400;-74.24225;45.27376
78;SOUS-BASSIN;47.549740;0.007866;6;184;0.073600;-74.24416;45.27784
79;SOUS-BASSIN;47.674545;0.008354;1;166;0.066400;-74.24591;45.27779
80;SOUS-BASSIN;49.019077;0.007377;8;688;0.275200;-74.24984;45.28398
81;SOUS-BASSIN;47.916077;0.030038;7;44;0.017600;-74.24502;45.27551
82;SOUS-BASSIN;46.699356;0.059940;3;43;0.017200;-74.24453;45.27469
83;SOUS-BASSIN;47.764690;0.008163;6;144;0.057600;-74.24745;45.27728
84;SOUS-BASSIN;48.630219;0.007034;1;1159;0.463600;-74.25349;45.27842
85;SOUS-BASSIN;49.046814;0.007396;8;769;0.307600;-74.25309;45.28256
86;SOUS-BASSIN;46.387455;0.165220;1;2;0.000800;-74.24616;45.27456
87;SOUS-BASSIN;48.098473;0.010746;8;562;0.224800;-74.25233;45.27360
88;SOUS-BASSIN;47.556431;0.020746;4;673;0.269200;-74.24728;45.27083
89;SOUS-BASSIN;48.064140;0.021090;7;13;0.005200;-74.25370;45.27117
90;SOUS-BASSIN;47.127537;0.048319;2;23;0.009200;-74.25417;45.27035
91;SOUS-BASSIN;48.028530;0.027016;6;123;0.049200;-74.25542;45.27323
92;SOUS-BASSIN;47.502720;0.039081;1;136;0.054400;-74.25636;45.27237
93;SOUS-BASSIN;48.917049;0.009712;7;1227;0.490800;-74.26228;45.27866
94;SOUS-BASSIN;48.693073;0.014052;3;1477;0.590800;-74.26637;45.27326
95;SOUS-BASSIN;48.582733;0.038419;5;39;0.015600;-74.27060;45.27714
96;SOUS-BASSIN;47.948364;0.034062;1;70;0.028000;-74.27207;45.27700
97;SOUS-BASSIN;48.974377;0.013700;6;891;0.356400;-74.26661;45.28235
98;SOUS-BASSIN;48.382740;0.028242;1;344;0.137600;-74.27162;45.28079
99;SOUS-BASSIN;49.155727;0.010295;4;1824;0.729600;-74.25839;45.28802
100;SOUS-BASSIN;49.272156;0.009654;8;2322;0.928800;-74.26360;45.29107
101;SOUS-BASSIN;56.192631;0.005326;8;81264;32.505600;-74.29402;45.33276
102;SOUS-BASSIN;51.131504;0.006014;7;6925;2.770000;-74.27924;45.29802
103;SOUS-BASSIN;48.355484;0.042177;3;207;0.082800;-74.27585;45.28247
104;SOUS-BASSIN;48.655777;0.034929;6;132;0.052800;-74.27888;45.28387
105;SOUS-BASSIN;49.014008;0.028065;2;394;0.157600;-74.28198;45.28242
106;SOUS-BASSIN;49.117615;0.020030;7;82;0.032800;-74.28503;45.28532
107;SOUS-BASSIN;49.120689;0.019849;2;135;0.054000;-74.28568;45.28372
108;SOUS-BASSIN;54.749065;0.007141;8;19913;7.965200;-74.32757;45.29583
109;SOUS-BASSIN;49.599865;0.016846;6;516;0.206400;-74.28194;45.28812
110;SOUS-BASSIN;48.509045;0.043775;1;279;0.111600;-74.28441;45.28700
111;SOUS-BASSIN;49.903786;0.029373;7;275;0.110000;-74.28909;45.29204
112;SOUS-BASSIN;49.351101;0.034180;2;430;0.172000;-74.29084;45.28988
113;SOUS-BASSIN;51.229965;0.028674;6;462;0.184800;-74.29281;45.29588
114;SOUS-BASSIN;49.951149;0.045284;1;545;0.218000;-74.29577;45.29515
115;SOUS-BASSIN;53.552711;0.022364;6;878;0.351200;-74.30301;45.30428
116;SOUS-BASSIN;52.697525;0.040130;2;685;0.274000;-74.30582;45.30305
117;SOUS-BASSIN;53.380280;0.045928;6;23;0.009200;-74.31056;45.30865
118;SOUS-BASSIN;52.641773;0.045026;2;38;0.015200;-74.31195;45.30771
119;SOUS-BASSIN;53.922310;0.035063;7;187;0.074800;-74.31419;45.31001
120;SOUS-BASSIN;53.512516;0.031767;2;256;0.102400;-74.31653;45.30865
121;SOUS-BASSIN;55.242279;0.011526;6;193;0.077200;-74.31599;45.31328
122;SOUS-BASSIN;54.563183;0.019353;8;83;0.033200;-74.31759;45.31174
123;SOUS-BASSIN;55.812008;0.004829;8;306;0.122400;-74.31867;45.31531
124;SOUS-BASSIN;54.485710;0.034493;6;163;0.065200;-74.31946;45.31225
125;SOUS-BASSIN;53.083752;0.039859;2;155;0.062000;-74.32030;45.31037
126;SOUS-BASSIN;55.778019;0.010498;7;532;0.212800;-74.32273;45.31572
127;SOUS-BASSIN;54.593712;0.030677;1;120;0.048000;-74.32433;45.31354
128;SOUS-BASSIN;56.486748;0.004608;7;502;0.200800;-74.32638;45.31800
129;SOUS-BASSIN;52.926220;0.040730;8;54;0.021600;-74.32346;45.31181
130;SOUS-BASSIN;52.502419;0.056166;3;84;0.033600;-74.32261;45.31086
131;SOUS-BASSIN;54.720615;0.035810;6;336;0.134400;-74.32786;45.31343
132;SOUS-BASSIN;55.467236;0.016209;1;1115;0.446000;-74.33114;45.31032
133;SOUS-BASSIN;54.965973;0.035793;5;10;0.004000;-74.33171;45.31524
134;SOUS-BASSIN;50.494057;0.105486;1;7;0.002800;-74.33298;45.31486
135;SOUS-BASSIN;56.302780;0.017921;6;353;0.141200;-74.32937;45.31839
136;SOUS-BASSIN;56.071442;0.023820;8;330;0.132000;-74.33268;45.31821
137;SOUS-BASSIN;57.429455;0.008286;7;608;0.243200;-74.33203;45.32263
138;SOUS-BASSIN;55.652985;0.036420;7;154;0.061600;-74.33491;45.31670
139;SOUS-BASSIN;55.497906;0.038595;2;369;0.147600;-74.33753;45.31501
140;SOUS-BASSIN;55.039570;0.060606;7;60;0.024000;-74.33901;45.31833
141;SOUS-BASSIN;55.822807;0.028482;2;170;0.068000;-74.34063;45.31616
142;SOUS-BASSIN;55.664940;0.059500;6;73;0.029200;-74.34085;45.31972
143;SOUS-BASSIN;53.961456;0.058358;1;70;0.028000;-74.34208;45.31946
144;SOUS-BASSIN;58.199379;0.011149;7;1721;0.688400;-74.34226;45.32589
145;SOUS-BASSIN;55.293415;0.051053;7;266;0.106400;-74.34499;45.31953
146;SOUS-BASSIN;54.982502;0.063261;2;283;0.113200;-74.34427;45.31764
147;SOUS-BASSIN;57.528873;0.022052;7;909;0.363600;-74.34931;45.32318
148;SOUS-BASSIN;57.312263;0.036841;2;692;0.276800;-74.35609;45.32057
149;SOUS-BASSIN;57.848110;0.033309;5;135;0.054000;-74.35214;45.32462
150;SOUS-BASSIN;58.865921;0.019091;8;759;0.303600;-74.35701;45.32665
151;SOUS-BASSIN;60.641171;0.006045;7;5504;2.201600;-74.35498;45.33541
152;SOUS-BASSIN;58.043995;0.038106;7;796;0.318400;-74.36284;45.32675
153;SOUS-BASSIN;59.320389;0.034035;2;1871;0.748400;-74.36799;45.32343
154;SOUS-BASSIN;57.544575;0.051651;6;387;0.154800;-74.37032;45.33091
155;SOUS-BASSIN;59.166328;0.060203;1;446;0.178400;-74.37443;45.32999
156;SOUS-BASSIN;60.141129;0.022274;4;412;0.164800;-74.36814;45.33388
157;SOUS-BASSIN;59.221436;0.054013;8;280;0.112000;-74.37156;45.33535
158;SOUS-BASSIN;65.374794;0.010320;8;12541;5.016400;-74.37220;45.34986
159;SOUS-BASSIN;59.293861;0.063909;6;40;0.016000;-74.37382;45.33408
160;SOUS-BASSIN;52.873741;0.078125;1;38;0.015200;-74.37458;45.33305
161;SOUS-BASSIN;61.492310;0.026283;6;161;0.064400;-74.37538;45.33618
162;SOUS-BASSIN;59.654495;0.083238;1;108;0.043200;-74.37703;45.33496
163;SOUS-BASSIN;66.259010;0.009652;7;5178;2.071200;-74.38675;45.34756
164;SOUS-BASSIN;69.378426;0.014656;8;12027;4.810800;-74.39945;45.35076
165;SOUS-BASSIN;65.411758;0.037040;3;3616;1.446400;-74.39476;45.33206
166;SOUS-BASSIN;66.876259;0.017548;7;1335;0.534000;-74.41037;45.34249
167;SOUS-BASSIN;67.082474;0.037305;1;1000;0.400000;-74.41263;45.33780
168;SOUS-BASSIN;67.303902;0.016836;5;152;0.060800;-74.41595;45.34277
169;SOUS-BASSIN;67.908875;0.013737;1;219;0.087600;-74.41827;45.34282
170;SOUS-BASSIN;80.447205;0.040679;6;2452;0.980800;-74.42327;45.35675
171;SOUS-BASSIN;80.218163;0.039593;1;4271;1.708400;-74.42980;45.35354
172;SOUS-BASSIN;79.578682;0.033286;7;3713;1.485200;-74.44557;45.37100
173;SOUS-BASSIN;84.107452;0.038288;3;5294;2.117600;-74.44683;45.36309
174;SOUS-BASSIN;81.565399;0.026221;2;2133;0.853200;-74.46348;45.36427
175;SOUS-BASSIN;88.670418;0.045647;4;387;0.154800;-74.42798;45.36556
176;SOUS-BASSIN;93.480988;0.027866;5;3518;1.407200;-74.42450;45.37131
177;SOUS-BASSIN;98.121544;0.020183;4;53;0.021200;-74.42186;45.36549
178;SOUS-BASSIN;85.714508;0.023659;7;2000;0.800000;-74.41145;45.36207
179;SOUS-BASSIN;79.946106;0.024732;8;3366;1.346400;-74.41477;45.35763
180;SOUS-BASSIN;97.102882;0.029828;8;521;0.208400;-74.41876;45.36595
181;SOUS-BASSIN;85.278290;0.027151;8;6591;2.636400;-74.43831;45.34503
182;SOUS-BASSIN;76.517570;0.023502;2;4120;1.648000;-74.43947;45.33785
183;SOUS-BASSIN;96.446182;0.036903;2;103;0.041200;-74.45797;45.34087
184;SOUS-BASSIN;70.324432;0.036055;8;9346;3.738400;-74.43691;45.33059
185;SOUS-BASSIN;67.905258;0.038784;3;7111;2.844400;-74.42945;45.32294
186;SOUS-BASSIN;69.144936;0.054262;7;485;0.194000;-74.45973;45.32110
187;SOUS-BASSIN;68.752434;0.040280;3;768;0.307200;-74.45731;45.31719
188;SOUS-BASSIN;71.327194;0.040544;6;341;0.136400;-74.46456;45.32193
189;SOUS-BASSIN;79.534317;0.024510;8;1140;0.456000;-74.47099;45.32602
190;SOUS-BASSIN;81.971123;0.029879;7;5306;2.122400;-74.46206;45.33102
191;SOUS-BASSIN;76.944382;0.022460;7;15545;6.218000;-74.48869;45.31865
192;SOUS-BASSIN;69.578186;0.026526;4;8557;3.422800;-74.47328;45.30788
193;SOUS-BASSIN;71.833168;0.028057;7;6096;2.438400;-74.51273;45.30339
