UhrhId; uhrh_a(km2); wet_a(km2); wet_dra_fr; frac; wetdnor(m); wetdmax(m); ksat_bs; c_ev; c_prod; sauvegarde
2; 0.7972; 0.0448; 0.437531; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 1
4; 0.258; 0.0232; 0.124031; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 1
11; 0.3624; 0.0852; 0.256071; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 1
13; 0.954; 0.0112; 0.0226415; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 1
17; 0.6008; 0.0072; 0.109854; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 1
19; 0.1216; 0.0004; 0.00328947; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 1
26; 0.4132; 0.1816; 0.481123; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 1
31; 0.2804; 0.0852; 0.383738; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
41; 0.336; 0.0048; 0.0154762; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
42; 0.3536; 0.0184; 0.0904977; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
49; 0.3448; 0.0256; 0.0846868; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
70; 1.2552; 0.0548; 0.12014; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
75; 0.4716; 0.004; 0.00932994; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
80; 0.2752; 0.0036; 0.0130814; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
85; 0.3076; 0.0024; 0.0507152; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
99; 0.7296; 0.0536; 0.130482; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
100; 0.9288; 0.0792; 0.348407; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
101; 32.5056; 0.1096; 0.015825; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
102; 2.77; 0.0384; 0.0599278; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
108; 7.9652; 0.0056; 0.00321398; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
158; 5.0164; 0.0548; 0.0686548; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
163; 2.0712; 0.012; 0.0156431; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
164; 4.8108; 0.1684; 0.118816; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
165; 1.4464; 0.0324; 0.0566925; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
167; 0.4; 0.0004; 0.001; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
170; 0.9808; 0.0552; 0.214927; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
171; 1.7084; 0.0004; 0.000234137; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
172; 1.4852; 0.1344; 0.290062; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
173; 2.1176; 0.2968; 0.406309; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
174; 0.8532; 0.2484; 0.555087; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
176; 1.4072; 0.1336; 0.841103; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
178; 0.8; 0.0552; 0.4635; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
179; 1.3464; 0.0624; 0.172014; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
180; 0.2084; 0.014; 0.767754; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
181; 2.6364; 0.1572; 0.178577; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
182; 1.648; 0.0748; 0.0842233; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
183; 0.0412; 0.0028; 0.0873786; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
184; 3.7384; 0.1908; 0.127969; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
185; 2.8444; 0.0544; 0.139362; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
189; 0.456; 0.0152; 0.144737; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
190; 2.1224; 0.3124; 0.565398; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
191; 6.218; 0.772; 0.263557; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
192; 3.4228; 0.0904; 0.1289; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
193; 2.4384; 0.0936; 0.112041; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
194; 3.8; 0.2204; 0.220737; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
197; 4.3196; 0.4484; 0.378554; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
198; 2.7316; 0.0668; 0.0581344; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
199; 0.7348; 0.0808; 0.302123; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
203; 6.6736; 0.7768; 0.315332; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
205; 0.5256; 0.0432; 0.319635; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
206; 0.3376; 0.0168; 0.163507; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
207; 2.3156; 0.1056; 0.125238; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
214; 1.78; 0.0044; 0.00292135; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
216; 2.4528; 0.0464; 0.174005; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
217; 3.7452; 0.562; 0.387589; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
218; 2.0332; 0.0252; 0.0983671; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
219; 0.2704; 0.0204; 0.331361; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
220; 7.7644; 1.2368; 0.605224; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
224; 4.2748; 0.0768; 0.0645644; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
225; 3.9484; 0.1212; 0.13099; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
226; 3.782; 0.2456; 0.236806; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
227; 1.3832; 0.0852; 0.14893; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
228; 1.7312; 0.0604; 0.0482902; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
229; 2.7404; 0.092; 0.0709385; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
230; 0.5652; 0.0088; 0.0254777; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
231; 0.8876; 0.0512; 0.113114; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
232; 0.8772; 0.0868; 0.143639; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
233; 0.8504; 0.0016; 0.00235183; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
234; 1.8372; 0.6044; 0.653386; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
235; 0.1208; 0.0028; 0.0397351; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
236; 0.4708; 0.072; 0.262532; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
238; 0.5604; 0.0884; 0.211278; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
239; 0.47; 0.2164; 0.68766; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
240; 0.1632; 0.0108; 0.0735294; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
241; 0.174; 0.0688; 0.443678; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
242; 0.3596; 0.0008; 0.00667408; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
243; 1.3372; 0.5712; 0.639246; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
245; 0.788; 0.0312; 0.0954315; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
246; 0.3056; 0.006; 0.0209424; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
247; 0.042; 0.0004; 0.00952381; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
248; 0.04; 0.0004; 0.01; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
251; 0.8772; 0.184; 0.326037; 0.8; 0.2; 0.3; 0.5; 0.6; 10.0; 0.0
