PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;DEGRE JOUR BANDE

CLASSE INTEGRE CONIFERES;
CLASSE INTEGRE FEUILLUS;

NOM FICHIER STATION NEIGE CONIFERS;
NOM FICHIER STATION NEIGE FEUILLUS;
NOM FICHIER STATION NEIGE DECOUVERTS;

INTERPOLATION STATION NEIGE CONIFERS;
INTERPOLATION STATION NEIGE FEUILLUS;
INTERPOLATION STATION NEIGE DECOUVERTS;

HAUTEUR BANDE(m);100

UHRH ID;TAUX DE FONTE (mm/jour);DENSITE MAXIMALE (Kg/m3);CONSTANTE TASSEMENT;SEUIL FONTE CONIFERS (C);SEUIL FONTE FEUILLUS (C);SEUIL FONTE DECOUVERTS (C);TAUX FONTE CONIFERS (mm/jour.C);TAUX FONTE FEUILLUS (mm/jour.C);TAUX FONTE DECOUVERTS (mm/jour.C);SEUIL ALBEDO
1;0.5;550;0.1;0;0;0;12;14;16;1
2;0.5;550;0.1;0;0;0;12;14;16;1
3;0.5;550;0.1;0;0;0;12;14;16;1
4;0.5;550;0.1;0;0;0;12;14;16;1
5;0.5;550;0.1;0;0;0;12;14;16;1
6;0.5;550;0.1;0;0;0;12;14;16;1
7;0.5;550;0.1;0;0;0;12;14;16;1
8;0.5;550;0.1;0;0;0;12;14;16;1
9;0.5;550;0.1;0;0;0;12;14;16;1
10;0.5;550;0.1;0;0;0;12;14;16;1
11;0.5;550;0.1;0;0;0;12;14;16;1
12;0.5;550;0.1;0;0;0;12;14;16;1
13;0.5;550;0.1;0;0;0;12;14;16;1
14;0.5;550;0.1;0;0;0;12;14;16;1
15;0.5;550;0.1;0;0;0;12;14;16;1
16;0.5;550;0.1;0;0;0;12;14;16;1
17;0.5;550;0.1;0;0;0;12;14;16;1
18;0.5;550;0.1;0;0;0;12;14;16;1
19;0.5;550;0.1;0;0;0;12;14;16;1
20;0.5;550;0.1;0;0;0;12;14;16;1
21;0.5;550;0.1;0;0;0;12;14;16;1
22;0.5;550;0.1;0;0;0;12;14;16;1
23;0.5;550;0.1;0;0;0;12;14;16;1
24;0.5;550;0.1;0;0;0;12;14;16;1
25;0.5;550;0.1;0;0;0;12;14;16;1
26;0.5;550;0.1;0;0;0;12;14;16;1
27;0.5;550;0.1;0;0;0;12;14;16;1
28;0.5;550;0.1;0;0;0;12;14;16;1
29;0.5;550;0.1;0;0;0;12;14;16;1
30;0.5;550;0.1;0;0;0;12;14;16;1
31;0.5;550;0.1;0;0;0;12;14;16;1
32;0.5;550;0.1;0;0;0;12;14;16;1
33;0.5;550;0.1;0;0;0;12;14;16;1
34;0.5;550;0.1;0;0;0;12;14;16;1
35;0.5;550;0.1;0;0;0;12;14;16;1
36;0.5;550;0.1;0;0;0;12;14;16;1
37;0.5;550;0.1;0;0;0;12;14;16;1
38;0.5;550;0.1;0;0;0;12;14;16;1
39;0.5;550;0.1;0;0;0;12;14;16;1
40;0.5;550;0.1;0;0;0;12;14;16;1
41;0.5;550;0.1;0;0;0;12;14;16;1
42;0.5;550;0.1;0;0;0;12;14;16;1
43;0.5;550;0.1;0;0;0;12;14;16;1
44;0.5;550;0.1;0;0;0;12;14;16;1
45;0.5;550;0.1;0;0;0;12;14;16;1
46;0.5;550;0.1;0;0;0;12;14;16;1
47;0.5;550;0.1;0;0;0;12;14;16;1
48;0.5;550;0.1;0;0;0;12;14;16;1
49;0.5;550;0.1;0;0;0;12;14;16;1
50;0.5;550;0.1;0;0;0;12;14;16;1
51;0.5;550;0.1;0;0;0;12;14;16;1
52;0.5;550;0.1;0;0;0;12;14;16;1
53;0.5;550;0.1;0;0;0;12;14;16;1
54;0.5;550;0.1;0;0;0;12;14;16;1
55;0.5;550;0.1;0;0;0;12;14;16;1
56;0.5;550;0.1;0;0;0;12;14;16;1
57;0.5;550;0.1;0;0;0;12;14;16;1
58;0.5;550;0.1;0;0;0;12;14;16;1
59;0.5;550;0.1;0;0;0;12;14;16;1
60;0.5;550;0.1;0;0;0;12;14;16;1
61;0.5;550;0.1;0;0;0;12;14;16;1
62;0.5;550;0.1;0;0;0;12;14;16;1
63;0.5;550;0.1;0;0;0;12;14;16;1
64;0.5;550;0.1;0;0;0;12;14;16;1
65;0.5;550;0.1;0;0;0;12;14;16;1
66;0.5;550;0.1;0;0;0;12;14;16;1
67;0.5;550;0.1;0;0;0;12;14;16;1
68;0.5;550;0.1;0;0;0;12;14;16;1
69;0.5;550;0.1;0;0;0;12;14;16;1
70;0.5;550;0.1;0;0;0;12;14;16;1
71;0.5;550;0.1;0;0;0;12;14;16;1
72;0.5;550;0.1;0;0;0;12;14;16;1
73;0.5;550;0.1;0;0;0;12;14;16;1
74;0.5;550;0.1;0;0;0;12;14;16;1
75;0.5;550;0.1;0;0;0;12;14;16;1
76;0.5;550;0.1;0;0;0;12;14;16;1
77;0.5;550;0.1;0;0;0;12;14;16;1
78;0.5;550;0.1;0;0;0;12;14;16;1
79;0.5;550;0.1;0;0;0;12;14;16;1
80;0.5;550;0.1;0;0;0;12;14;16;1
81;0.5;550;0.1;0;0;0;12;14;16;1
82;0.5;550;0.1;0;0;0;12;14;16;1
83;0.5;550;0.1;0;0;0;12;14;16;1
84;0.5;550;0.1;0;0;0;12;14;16;1
85;0.5;550;0.1;0;0;0;12;14;16;1
86;0.5;550;0.1;0;0;0;12;14;16;1
87;0.5;550;0.1;0;0;0;12;14;16;1
88;0.5;550;0.1;0;0;0;12;14;16;1
89;0.5;550;0.1;0;0;0;12;14;16;1
90;0.5;550;0.1;0;0;0;12;14;16;1
