PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;LINACRE

UHRH ID; TEMPERATURE MOIS PLUS FROID (C); TEMPERATURE MOIS PLUS CHAUD (C); ALBEDO (0.23 SURFACE REFERENCE); COEFFICIENT MULTIPLICATIF OPTIMISATION
1;-10;20;0.23;1
2;-10;20;0.23;1
3;-10;20;0.23;1
4;-10;20;0.23;1
5;-10;20;0.23;1
6;-10;20;0.23;1
7;-10;20;0.23;1
8;-10;20;0.23;1
9;-10;20;0.23;1
10;-10;20;0.23;1
11;-10;20;0.23;1
12;-10;20;0.23;1
13;-10;20;0.23;1
14;-10;20;0.23;1
15;-10;20;0.23;1
16;-10;20;0.23;1
17;-10;20;0.23;1
18;-10;20;0.23;1
19;-10;20;0.23;1
20;-10;20;0.23;1
21;-10;20;0.23;1
22;-10;20;0.23;1
23;-10;20;0.23;1
24;-10;20;0.23;1
25;-10;20;0.23;1
26;-10;20;0.23;1
27;-10;20;0.23;1
28;-10;20;0.23;1
29;-10;20;0.23;1
30;-10;20;0.23;1
31;-10;20;0.23;1
32;-10;20;0.23;1
33;-10;20;0.23;1
34;-10;20;0.23;1
35;-10;20;0.23;1
36;-10;20;0.23;1
37;-10;20;0.23;1
38;-10;20;0.23;1
39;-10;20;0.23;1
40;-10;20;0.23;1
41;-10;20;0.23;1
42;-10;20;0.23;1
43;-10;20;0.23;1
44;-10;20;0.23;1
45;-10;20;0.23;1
46;-10;20;0.23;1
47;-10;20;0.23;1
48;-10;20;0.23;1
49;-10;20;0.23;1
50;-10;20;0.23;1
51;-10;20;0.23;1
52;-10;20;0.23;1
53;-10;20;0.23;1
54;-10;20;0.23;1
55;-10;20;0.23;1
56;-10;20;0.23;1
57;-10;20;0.23;1
58;-10;20;0.23;1
59;-10;20;0.23;1
60;-10;20;0.23;1
61;-10;20;0.23;1
62;-10;20;0.23;1
63;-10;20;0.23;1
64;-10;20;0.23;1
65;-10;20;0.23;1
66;-10;20;0.23;1
67;-10;20;0.23;1
68;-10;20;0.23;1
69;-10;20;0.23;1
70;-10;20;0.23;1
71;-10;20;0.23;1
72;-10;20;0.23;1
73;-10;20;0.23;1
74;-10;20;0.23;1
75;-10;20;0.23;1
76;-10;20;0.23;1
77;-10;20;0.23;1
78;-10;20;0.23;1
79;-10;20;0.23;1
80;-10;20;0.23;1
81;-10;20;0.23;1
82;-10;20;0.23;1
83;-10;20;0.23;1
84;-10;20;0.23;1
85;-10;20;0.23;1
86;-10;20;0.23;1
87;-10;20;0.23;1
88;-10;20;0.23;1
89;-10;20;0.23;1
90;-10;20;0.23;1
91;-10;20;0.23;1
92;-10;20;0.23;1
93;-10;20;0.23;1
94;-10;20;0.23;1
95;-10;20;0.23;1
96;-10;20;0.23;1
97;-10;20;0.23;1
98;-10;20;0.23;1
99;-10;20;0.23;1
100;-10;20;0.23;1
101;-10;20;0.23;1
102;-10;20;0.23;1
103;-10;20;0.23;1
104;-10;20;0.23;1
105;-10;20;0.23;1
106;-10;20;0.23;1
107;-10;20;0.23;1
108;-10;20;0.23;1
109;-10;20;0.23;1
110;-10;20;0.23;1
111;-10;20;0.23;1
112;-10;20;0.23;1
113;-10;20;0.23;1
114;-10;20;0.23;1
115;-10;20;0.23;1
116;-10;20;0.23;1
117;-10;20;0.23;1
118;-10;20;0.23;1
119;-10;20;0.23;1
120;-10;20;0.23;1
121;-10;20;0.23;1
122;-10;20;0.23;1
123;-10;20;0.23;1
124;-10;20;0.23;1
125;-10;20;0.23;1
126;-10;20;0.23;1
127;-10;20;0.23;1
128;-10;20;0.23;1
129;-10;20;0.23;1
130;-10;20;0.23;1
131;-10;20;0.23;1
132;-10;20;0.23;1
133;-10;20;0.23;1
134;-10;20;0.23;1
135;-10;20;0.23;1
136;-10;20;0.23;1
137;-10;20;0.23;1
138;-10;20;0.23;1
139;-10;20;0.23;1
140;-10;20;0.23;1
141;-10;20;0.23;1
142;-10;20;0.23;1
143;-10;20;0.23;1
144;-10;20;0.23;1
145;-10;20;0.23;1
146;-10;20;0.23;1
147;-10;20;0.23;1
148;-10;20;0.23;1
149;-10;20;0.23;1
150;-10;20;0.23;1
151;-10;20;0.23;1
152;-10;20;0.23;1
153;-10;20;0.23;1
154;-10;20;0.23;1
155;-10;20;0.23;1
156;-10;20;0.23;1
157;-10;20;0.23;1
158;-10;20;0.23;1
159;-10;20;0.23;1
160;-10;20;0.23;1
161;-10;20;0.23;1
162;-10;20;0.23;1
163;-10;20;0.23;1
164;-10;20;0.23;1
165;-10;20;0.23;1
166;-10;20;0.23;1
167;-10;20;0.23;1
168;-10;20;0.23;1
169;-10;20;0.23;1
170;-10;20;0.23;1
171;-10;20;0.23;1
172;-10;20;0.23;1
173;-10;20;0.23;1
174;-10;20;0.23;1
175;-10;20;0.23;1
