TronconId; uhrh_a(km2); wet_a(km2); wetaup_fr; wetadra_fr; wetdown_fr; longueur(m); longueur_amont(m); longueur_aval(m); wetdnor(m); wetdmax(m); frac; ksat_bk; ksat_bs; th_aq; sauvegarde
1; 1.5084; 0.0128; 0.660833; 0.339167; 0; 260; 1767.7; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
64; 0.2196; 0.0048; 0.899818; 0.100182; 0; 240; 749.706; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
72; 6.2572; 0.016; 0.962859; 0.0371412; 0; 340; 3143.68; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
73; 0.934; 0.0348; 0.192291; 0.807709; 0; 1660; 167.696; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
74; 0.1484; 0.01; 0.703504; 0.296496; 0; 480; 181.421; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
76; 4.456; 0.1516; 0.818582; 0.181418; 0; 2940; 38.2338; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
77; 1.5832; 0.0176; 0; 0.0682163; 0.931784; 760; 0; 674.558; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
78; 2.3548; 0.0256; 0.197089; 0.124512; 0.678399; 420; 712.843; 2453.68; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
79; 4.3256; 0.372; 0.771962; 0.228038; 0; 3100; 716.812; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
80; 6.5828; 0.0292; 0.868749; 0.131251; 0; 1460; 4209.95; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
81; 0.5012; 0.0076; 0.676776; 0.323224; 0; 380; 548.284; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
82; 2.7148; 0.0004; 0.966558; 0.000147341; 0.0332943; 20; 1111.42; 38.2843; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
83; 9.6408; 0.1292; 0.384512; 0.230977; 0.384512; 867.656; 1444.41; 1444.41; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
84; 6.2384; 0.1728; 0.226244; 0.547512; 0.226244; 1984.92; 820.211; 820.211; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
85; 0.0492; 0.018; 0; 1; 0; 254.558; 0; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
86; 7.0512; 0.1756; 0.282987; 0.434025; 0.282987; 1783.06; 1162.56; 1162.56; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
87; 1.3152; 0.1172; 0.0419708; 0.916058; 0.0419708; 1325.09; 60.7115; 60.7115; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
88; 7.2244; 0.0016; 0.987526; 0.000498311; 0.0119755; 80; 1366.27; 16.5685; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
89; 0.6468; 0.0208; 0.328695; 0.34261; 0.328695; 249.316; 239.19; 239.19; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
90; 2.6532; 0.07; 0.345093; 0.309815; 0.345093; 564.378; 628.643; 628.643; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
91; 0.5596; 0.0224; 0.0993567; 0.801287; 0.0993567; 704.66; 87.3754; 87.3754; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 1
92; 0.2012; 0.0168; 0.233598; 0.532803; 0.233598; 259.088; 113.593; 113.593; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
93; 2.2384; 0.0004; 0.00851349; 0.00125089; 0.990236; 20; 10; 1163.14; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
94; 2.8364; 0.0644; 0.381469; 0.237061; 0.381469; 384.573; 618.84; 618.84; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
96; 8.0312; 0.0544; 0.458288; 0.0834246; 0.458288; 109.331; 600.604; 600.604; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
97; 0.2256; 0.0168; 0; 1; 0; 436.569; 0; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
98; 8.2232; 0.0956; 0.817492; 0.182508; 1.11022e-16; 4640; 3313.04; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
99; 5.1652; 0.1616; 0.755285; 0.244715; 0; 2580; 2405.93; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
100; 4.4716; 1.3784; 0.157528; 0.684945; 0.157528; 3582.23; 823.861; 823.861; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
101; 1.4528; 0.0872; 0.880507; 0.119493; 0; 860; 935.98; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
102; 1.7276; 0.6788; 0.0435286; 0.912943; 0.0435286; 2141.48; 102.104; 102.104; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
103; 2.4288; 0.01; 0.782609; 0.217391; 0; 260; 551.127; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
104; 0.5832; 0.0116; 0.979424; 0.0205761; 0; 120; 241.421; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
105; 0.8072; 0.0688; 0.874133; 0.125867; -1.11022e-16; 1200; 227.696; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
106; 1.6968; 0.2652; 0.288307; 0.423385; 0.288307; 594.545; 404.86; 404.86; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
107; 1.5492; 0.5104; 0.0722954; 0.855409; 0.0722954; 1853.76; 156.672; 156.672; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
108; 0.082; 0.0304; 0.0341463; 0.931707; 0.0341463; 313.583; 11.4926; 11.4926; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
109; 0.0184; 0.0084; 0; 1; 0; 48.2843; 0; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
110; 3.0984; 1.0184; 0.322618; 0.677382; 0; 2120; 144.264; 0; 0.2; 0.3; 0.8; 25.0; 0.5; 2.0; 0
