PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;PENMAN-MONTEITH

UHRH ID; HAUTEUR A LAQUELLE LA VITESSE DU VENT EST MESUREE (2m); HAUTEUR A LAQUELLE L'HUMIDITE EST MESUREE (2m); VITESSE DU VENT A LA HAUTEUR Z (m/s); HAUTEUR DE LA VEGETATION (0.12 SURFACE REFERENCE) (m); RESISTANCE STOMATALE (100 SURFACE REFERENCE) (s/m); COEFFICIENT MULTIPLICATIF OPTIMISATION
1;2;2;2;0.12;100;1
2;2;2;2;0.12;100;1
3;2;2;2;0.12;100;1
4;2;2;2;0.12;100;1
5;2;2;2;0.12;100;1
6;2;2;2;0.12;100;1
7;2;2;2;0.12;100;1
8;2;2;2;0.12;100;1
9;2;2;2;0.12;100;1
10;2;2;2;0.12;100;1
11;2;2;2;0.12;100;1
12;2;2;2;0.12;100;1
13;2;2;2;0.12;100;1
14;2;2;2;0.12;100;1
15;2;2;2;0.12;100;1
16;2;2;2;0.12;100;1
17;2;2;2;0.12;100;1
18;2;2;2;0.12;100;1
19;2;2;2;0.12;100;1
20;2;2;2;0.12;100;1
21;2;2;2;0.12;100;1
22;2;2;2;0.12;100;1
23;2;2;2;0.12;100;1
24;2;2;2;0.12;100;1
25;2;2;2;0.12;100;1
26;2;2;2;0.12;100;1
27;2;2;2;0.12;100;1
28;2;2;2;0.12;100;1
29;2;2;2;0.12;100;1
30;2;2;2;0.12;100;1
31;2;2;2;0.12;100;1
32;2;2;2;0.12;100;1
33;2;2;2;0.12;100;1
34;2;2;2;0.12;100;1
35;2;2;2;0.12;100;1
36;2;2;2;0.12;100;1
37;2;2;2;0.12;100;1
38;2;2;2;0.12;100;1
39;2;2;2;0.12;100;1
40;2;2;2;0.12;100;1
41;2;2;2;0.12;100;1
42;2;2;2;0.12;100;1
43;2;2;2;0.12;100;1
44;2;2;2;0.12;100;1
45;2;2;2;0.12;100;1
46;2;2;2;0.12;100;1
47;2;2;2;0.12;100;1
48;2;2;2;0.12;100;1
49;2;2;2;0.12;100;1
50;2;2;2;0.12;100;1
51;2;2;2;0.12;100;1
52;2;2;2;0.12;100;1
53;2;2;2;0.12;100;1
54;2;2;2;0.12;100;1
55;2;2;2;0.12;100;1
56;2;2;2;0.12;100;1
57;2;2;2;0.12;100;1
58;2;2;2;0.12;100;1
59;2;2;2;0.12;100;1
60;2;2;2;0.12;100;1
61;2;2;2;0.12;100;1
62;2;2;2;0.12;100;1
63;2;2;2;0.12;100;1
64;2;2;2;0.12;100;1
65;2;2;2;0.12;100;1
66;2;2;2;0.12;100;1
67;2;2;2;0.12;100;1
68;2;2;2;0.12;100;1
69;2;2;2;0.12;100;1
70;2;2;2;0.12;100;1
71;2;2;2;0.12;100;1
72;2;2;2;0.12;100;1
73;2;2;2;0.12;100;1
74;2;2;2;0.12;100;1
75;2;2;2;0.12;100;1
76;2;2;2;0.12;100;1
77;2;2;2;0.12;100;1
78;2;2;2;0.12;100;1
79;2;2;2;0.12;100;1
80;2;2;2;0.12;100;1
81;2;2;2;0.12;100;1
82;2;2;2;0.12;100;1
83;2;2;2;0.12;100;1
84;2;2;2;0.12;100;1
85;2;2;2;0.12;100;1
86;2;2;2;0.12;100;1
87;2;2;2;0.12;100;1
88;2;2;2;0.12;100;1
89;2;2;2;0.12;100;1
90;2;2;2;0.12;100;1
91;2;2;2;0.12;100;1
92;2;2;2;0.12;100;1
93;2;2;2;0.12;100;1
94;2;2;2;0.12;100;1
95;2;2;2;0.12;100;1
96;2;2;2;0.12;100;1
97;2;2;2;0.12;100;1
98;2;2;2;0.12;100;1
99;2;2;2;0.12;100;1
100;2;2;2;0.12;100;1
101;2;2;2;0.12;100;1
102;2;2;2;0.12;100;1
103;2;2;2;0.12;100;1
104;2;2;2;0.12;100;1
105;2;2;2;0.12;100;1
106;2;2;2;0.12;100;1
107;2;2;2;0.12;100;1
108;2;2;2;0.12;100;1
109;2;2;2;0.12;100;1
110;2;2;2;0.12;100;1
111;2;2;2;0.12;100;1
112;2;2;2;0.12;100;1
113;2;2;2;0.12;100;1
114;2;2;2;0.12;100;1
115;2;2;2;0.12;100;1
116;2;2;2;0.12;100;1
117;2;2;2;0.12;100;1
118;2;2;2;0.12;100;1
119;2;2;2;0.12;100;1
120;2;2;2;0.12;100;1
121;2;2;2;0.12;100;1
122;2;2;2;0.12;100;1
123;2;2;2;0.12;100;1
124;2;2;2;0.12;100;1
125;2;2;2;0.12;100;1
126;2;2;2;0.12;100;1
127;2;2;2;0.12;100;1
128;2;2;2;0.12;100;1
129;2;2;2;0.12;100;1
130;2;2;2;0.12;100;1
131;2;2;2;0.12;100;1
132;2;2;2;0.12;100;1
133;2;2;2;0.12;100;1
134;2;2;2;0.12;100;1
135;2;2;2;0.12;100;1
136;2;2;2;0.12;100;1
137;2;2;2;0.12;100;1
138;2;2;2;0.12;100;1
139;2;2;2;0.12;100;1
140;2;2;2;0.12;100;1
141;2;2;2;0.12;100;1
142;2;2;2;0.12;100;1
143;2;2;2;0.12;100;1
144;2;2;2;0.12;100;1
145;2;2;2;0.12;100;1
146;2;2;2;0.12;100;1
147;2;2;2;0.12;100;1
148;2;2;2;0.12;100;1
149;2;2;2;0.12;100;1
150;2;2;2;0.12;100;1
151;2;2;2;0.12;100;1
152;2;2;2;0.12;100;1
153;2;2;2;0.12;100;1
154;2;2;2;0.12;100;1
155;2;2;2;0.12;100;1
156;2;2;2;0.12;100;1
157;2;2;2;0.12;100;1
158;2;2;2;0.12;100;1
159;2;2;2;0.12;100;1
160;2;2;2;0.12;100;1
161;2;2;2;0.12;100;1
162;2;2;2;0.12;100;1
163;2;2;2;0.12;100;1
164;2;2;2;0.12;100;1
165;2;2;2;0.12;100;1
166;2;2;2;0.12;100;1
167;2;2;2;0.12;100;1
168;2;2;2;0.12;100;1
169;2;2;2;0.12;100;1
170;2;2;2;0.12;100;1
171;2;2;2;0.12;100;1
172;2;2;2;0.12;100;1
173;2;2;2;0.12;100;1
174;2;2;2;0.12;100;1
175;2;2;2;0.12;100;1
176;2;2;2;0.12;100;1
177;2;2;2;0.12;100;1
178;2;2;2;0.12;100;1
179;2;2;2;0.12;100;1
180;2;2;2;0.12;100;1
181;2;2;2;0.12;100;1
182;2;2;2;0.12;100;1
183;2;2;2;0.12;100;1
184;2;2;2;0.12;100;1
185;2;2;2;0.12;100;1
186;2;2;2;0.12;100;1
187;2;2;2;0.12;100;1
188;2;2;2;0.12;100;1
189;2;2;2;0.12;100;1
190;2;2;2;0.12;100;1
191;2;2;2;0.12;100;1
192;2;2;2;0.12;100;1
193;2;2;2;0.12;100;1
194;2;2;2;0.12;100;1
195;2;2;2;0.12;100;1
196;2;2;2;0.12;100;1
197;2;2;2;0.12;100;1
198;2;2;2;0.12;100;1
199;2;2;2;0.12;100;1
200;2;2;2;0.12;100;1
201;2;2;2;0.12;100;1
202;2;2;2;0.12;100;1
203;2;2;2;0.12;100;1
204;2;2;2;0.12;100;1
205;2;2;2;0.12;100;1
206;2;2;2;0.12;100;1
207;2;2;2;0.12;100;1
208;2;2;2;0.12;100;1
209;2;2;2;0.12;100;1
210;2;2;2;0.12;100;1
211;2;2;2;0.12;100;1
212;2;2;2;0.12;100;1
213;2;2;2;0.12;100;1
214;2;2;2;0.12;100;1
215;2;2;2;0.12;100;1
216;2;2;2;0.12;100;1
217;2;2;2;0.12;100;1
218;2;2;2;0.12;100;1
219;2;2;2;0.12;100;1
220;2;2;2;0.12;100;1
221;2;2;2;0.12;100;1
222;2;2;2;0.12;100;1
223;2;2;2;0.12;100;1
224;2;2;2;0.12;100;1
225;2;2;2;0.12;100;1
226;2;2;2;0.12;100;1
227;2;2;2;0.12;100;1
228;2;2;2;0.12;100;1
229;2;2;2;0.12;100;1
230;2;2;2;0.12;100;1
231;2;2;2;0.12;100;1
232;2;2;2;0.12;100;1
233;2;2;2;0.12;100;1
234;2;2;2;0.12;100;1
235;2;2;2;0.12;100;1
236;2;2;2;0.12;100;1
237;2;2;2;0.12;100;1
238;2;2;2;0.12;100;1
239;2;2;2;0.12;100;1
240;2;2;2;0.12;100;1
241;2;2;2;0.12;100;1
242;2;2;2;0.12;100;1
243;2;2;2;0.12;100;1
244;2;2;2;0.12;100;1
245;2;2;2;0.12;100;1
246;2;2;2;0.12;100;1
247;2;2;2;0.12;100;1
248;2;2;2;0.12;100;1
249;2;2;2;0.12;100;1
250;2;2;2;0.12;100;1
251;2;2;2;0.12;100;1
252;2;2;2;0.12;100;1
253;2;2;2;0.12;100;1
254;2;2;2;0.12;100;1
255;2;2;2;0.12;100;1
256;2;2;2;0.12;100;1
257;2;2;2;0.12;100;1
258;2;2;2;0.12;100;1
259;2;2;2;0.12;100;1
260;2;2;2;0.12;100;1
261;2;2;2;0.12;100;1
262;2;2;2;0.12;100;1
263;2;2;2;0.12;100;1
264;2;2;2;0.12;100;1
265;2;2;2;0.12;100;1
266;2;2;2;0.12;100;1
267;2;2;2;0.12;100;1
268;2;2;2;0.12;100;1
269;2;2;2;0.12;100;1
270;2;2;2;0.12;100;1
271;2;2;2;0.12;100;1
272;2;2;2;0.12;100;1
273;2;2;2;0.12;100;1
274;2;2;2;0.12;100;1
275;2;2;2;0.12;100;1
276;2;2;2;0.12;100;1
277;2;2;2;0.12;100;1
278;2;2;2;0.12;100;1
279;2;2;2;0.12;100;1
280;2;2;2;0.12;100;1
281;2;2;2;0.12;100;1
282;2;2;2;0.12;100;1
283;2;2;2;0.12;100;1
284;2;2;2;0.12;100;1
285;2;2;2;0.12;100;1
286;2;2;2;0.12;100;1
287;2;2;2;0.12;100;1
288;2;2;2;0.12;100;1
289;2;2;2;0.12;100;1
290;2;2;2;0.12;100;1
291;2;2;2;0.12;100;1
292;2;2;2;0.12;100;1
293;2;2;2;0.12;100;1
294;2;2;2;0.12;100;1
295;2;2;2;0.12;100;1
296;2;2;2;0.12;100;1
297;2;2;2;0.12;100;1
298;2;2;2;0.12;100;1
299;2;2;2;0.12;100;1
300;2;2;2;0.12;100;1
