PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;PRIESTLAY-TAYLOR

UHRH ID;COEFFICIENT PROPORTIONNALITE ALPHA;COEFFICIENT MULTIPLICATIF D'OPTIMISATION
1;1.26;1
2;1.26;1
3;1.26;1
4;1.26;1
5;1.26;1
6;1.26;1
7;1.26;1
8;1.26;1
9;1.26;1
10;1.26;1
11;1.26;1
12;1.26;1
13;1.26;1
14;1.26;1
15;1.26;1
16;1.26;1
17;1.26;1
18;1.26;1
19;1.26;1
20;1.26;1
21;1.26;1
22;1.26;1
23;1.26;1
24;1.26;1
25;1.26;1
26;1.26;1
27;1.26;1
28;1.26;1
29;1.26;1
30;1.26;1
31;1.26;1
32;1.26;1
33;1.26;1
34;1.26;1
35;1.26;1
36;1.26;1
37;1.26;1
38;1.26;1
39;1.26;1
40;1.26;1
41;1.26;1
42;1.26;1
43;1.26;1
44;1.26;1
45;1.26;1
46;1.26;1
47;1.26;1
48;1.26;1
49;1.26;1
50;1.26;1
51;1.26;1
52;1.26;1
53;1.26;1
54;1.26;1
55;1.26;1
56;1.26;1
57;1.26;1
58;1.26;1
59;1.26;1
60;1.26;1
61;1.26;1
62;1.26;1
63;1.26;1
64;1.26;1
65;1.26;1
66;1.26;1
67;1.26;1
68;1.26;1
69;1.26;1
70;1.26;1
71;1.26;1
72;1.26;1
73;1.26;1
74;1.26;1
75;1.26;1
76;1.26;1
77;1.26;1
78;1.26;1
79;1.26;1
80;1.26;1
81;1.26;1
82;1.26;1
83;1.26;1
84;1.26;1
85;1.26;1
86;1.26;1
87;1.26;1
88;1.26;1
89;1.26;1
90;1.26;1
91;1.26;1
92;1.26;1
93;1.26;1
94;1.26;1
95;1.26;1
96;1.26;1
97;1.26;1
98;1.26;1
99;1.26;1
100;1.26;1
101;1.26;1
102;1.26;1
103;1.26;1
104;1.26;1
105;1.26;1
106;1.26;1
107;1.26;1
108;1.26;1
109;1.26;1
110;1.26;1
111;1.26;1
112;1.26;1
113;1.26;1
114;1.26;1
115;1.26;1
116;1.26;1
117;1.26;1
118;1.26;1
119;1.26;1
120;1.26;1
121;1.26;1
122;1.26;1
123;1.26;1
124;1.26;1
125;1.26;1
126;1.26;1
127;1.26;1
128;1.26;1
129;1.26;1
130;1.26;1
131;1.26;1
132;1.26;1
133;1.26;1
134;1.26;1
135;1.26;1
136;1.26;1
137;1.26;1
138;1.26;1
139;1.26;1
140;1.26;1
141;1.26;1
142;1.26;1
143;1.26;1
144;1.26;1
145;1.26;1
146;1.26;1
147;1.26;1
148;1.26;1
149;1.26;1
150;1.26;1
151;1.26;1
152;1.26;1
153;1.26;1
154;1.26;1
155;1.26;1
156;1.26;1
157;1.26;1
158;1.26;1
159;1.26;1
160;1.26;1
161;1.26;1
162;1.26;1
163;1.26;1
164;1.26;1
165;1.26;1
166;1.26;1
167;1.26;1
168;1.26;1
169;1.26;1
170;1.26;1
171;1.26;1
172;1.26;1
173;1.26;1
174;1.26;1
175;1.26;1
176;1.26;1
177;1.26;1
178;1.26;1
179;1.26;1
180;1.26;1
181;1.26;1
182;1.26;1
183;1.26;1
184;1.26;1
185;1.26;1
186;1.26;1
187;1.26;1
188;1.26;1
189;1.26;1
190;1.26;1
191;1.26;1
192;1.26;1
193;1.26;1
194;1.26;1
195;1.26;1
196;1.26;1
197;1.26;1
198;1.26;1
199;1.26;1
200;1.26;1
201;1.26;1
202;1.26;1
203;1.26;1
204;1.26;1
205;1.26;1
206;1.26;1
207;1.26;1
208;1.26;1
209;1.26;1
210;1.26;1
211;1.26;1
212;1.26;1
213;1.26;1
214;1.26;1
215;1.26;1
216;1.26;1
217;1.26;1
218;1.26;1
219;1.26;1
220;1.26;1
221;1.26;1
222;1.26;1
223;1.26;1
224;1.26;1
225;1.26;1
226;1.26;1
227;1.26;1
228;1.26;1
229;1.26;1
230;1.26;1
231;1.26;1
232;1.26;1
233;1.26;1
234;1.26;1
235;1.26;1
236;1.26;1
237;1.26;1
238;1.26;1
239;1.26;1
240;1.26;1
241;1.26;1
242;1.26;1
243;1.26;1
244;1.26;1
245;1.26;1
246;1.26;1
247;1.26;1
248;1.26;1
249;1.26;1
250;1.26;1
251;1.26;1
252;1.26;1
253;1.26;1
254;1.26;1
255;1.26;1
256;1.26;1
257;1.26;1
258;1.26;1
259;1.26;1
260;1.26;1
261;1.26;1
262;1.26;1
263;1.26;1
264;1.26;1
265;1.26;1
266;1.26;1
267;1.26;1
268;1.26;1
269;1.26;1
270;1.26;1
271;1.26;1
272;1.26;1
273;1.26;1
274;1.26;1
275;1.26;1
276;1.26;1
277;1.26;1
278;1.26;1
279;1.26;1
280;1.26;1
281;1.26;1
282;1.26;1
283;1.26;1
284;1.26;1
285;1.26;1
286;1.26;1
287;1.26;1
288;1.26;1
289;1.26;1
290;1.26;1
291;1.26;1
292;1.26;1
293;1.26;1
294;1.26;1
295;1.26;1
296;1.26;1
297;1.26;1
298;1.26;1
299;1.26;1
300;1.26;1
301;1.26;1
302;1.26;1
303;1.26;1
304;1.26;1
305;1.26;1
306;1.26;1
307;1.26;1
308;1.26;1
309;1.26;1
310;1.26;1
311;1.26;1
312;1.26;1
313;1.26;1
314;1.26;1
315;1.26;1
316;1.26;1
317;1.26;1
318;1.26;1
319;1.26;1
320;1.26;1
321;1.26;1
322;1.26;1
323;1.26;1
324;1.26;1
325;1.26;1
326;1.26;1
327;1.26;1
328;1.26;1
329;1.26;1
330;1.26;1
331;1.26;1
332;1.26;1
333;1.26;1
334;1.26;1
335;1.26;1
336;1.26;1
337;1.26;1
338;1.26;1
339;1.26;1
340;1.26;1
341;1.26;1
342;1.26;1
343;1.26;1
344;1.26;1
345;1.26;1
346;1.26;1
347;1.26;1
348;1.26;1
349;1.26;1
350;1.26;1
351;1.26;1
352;1.26;1
353;1.26;1
354;1.26;1
355;1.26;1
356;1.26;1
357;1.26;1
358;1.26;1
359;1.26;1
360;1.26;1
361;1.26;1
362;1.26;1
363;1.26;1
364;1.26;1
365;1.26;1
366;1.26;1
367;1.26;1
368;1.26;1
369;1.26;1
370;1.26;1
371;1.26;1
372;1.26;1
373;1.26;1
374;1.26;1
375;1.26;1
376;1.26;1
377;1.26;1
378;1.26;1
379;1.26;1
380;1.26;1
381;1.26;1
382;1.26;1
383;1.26;1
384;1.26;1
385;1.26;1
386;1.26;1
387;1.26;1
388;1.26;1
389;1.26;1
390;1.26;1
391;1.26;1
392;1.26;1
393;1.26;1
394;1.26;1
395;1.26;1
396;1.26;1
397;1.26;1
398;1.26;1
399;1.26;1
400;1.26;1
401;1.26;1
402;1.26;1
403;1.26;1
404;1.26;1
405;1.26;1
406;1.26;1
407;1.26;1
408;1.26;1
409;1.26;1
410;1.26;1
411;1.26;1
412;1.26;1
413;1.26;1
414;1.26;1
415;1.26;1
416;1.26;1
417;1.26;1
418;1.26;1
419;1.26;1
420;1.26;1
421;1.26;1
422;1.26;1
423;1.26;1
424;1.26;1
425;1.26;1
426;1.26;1
427;1.26;1
428;1.26;1
429;1.26;1
430;1.26;1
431;1.26;1
432;1.26;1
433;1.26;1
434;1.26;1
435;1.26;1
436;1.26;1
437;1.26;1
438;1.26;1
439;1.26;1
440;1.26;1
441;1.26;1
442;1.26;1
443;1.26;1
444;1.26;1
445;1.26;1
446;1.26;1
447;1.26;1
448;1.26;1
449;1.26;1
450;1.26;1
451;1.26;1
452;1.26;1
453;1.26;1
454;1.26;1
455;1.26;1
456;1.26;1
457;1.26;1
