PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;RAYONNEMENT NET

UHRH ID; ALBEDO (0.23 SURFACE REFERENCE); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT A); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT B); TRANSMISSIVITE ATMOSPHERIQUE (COEFFICIENT C); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT A); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT B); EMISSIVITE ATMOSPHERIQUE (COEFFICIENT C); EMISSIVITE DE LA SURFACE (COEFFICIENT A); EMISSIVITE DE LA SURFACE (COEFFICIENT B)
1;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
2;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
3;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
4;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
5;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
6;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
7;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
8;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
9;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
10;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
11;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
12;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
13;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
14;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
15;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
16;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
17;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
18;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
19;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
20;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
21;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
22;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
23;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
24;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
25;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
26;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
27;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
28;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
29;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
30;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
31;0.23;0.9232;0.1121;0.8038;0.7363;0.0009;0.9828;0.9828;0.0009
