Débit en aval du tronçon (m3/s);ONDE CINEMATIQUE MODIFIEE ( VERSION 4.3.1.0000 )
date heure\troncon;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196
2020-01-01 00:00;13.06306;13.01045;0.00605;13.00418;0.03565;0.03548;0.00007;12.96402;0.00055;12.93202;0.00300;12.92599;0.00026;12.92281;0.00012;12.91661;12.91549;0.00059;12.90880;12.89606;0.00042;12.88987;0.00047;0.00021;0.00021;12.88673;0.00115;12.88186;12.87287;0.00394;12.85323;0.00093;12.84269;0.00022;12.83916;0.00070;12.83550;12.82003;12.80143;12.71540;12.70776;11.29106;11.28512;2.86669;8.40231;8.27323;0.74794;7.49685;7.44493;7.26432;7.16876;6.92468;6.20416;0.02098;6.15753;0.04004;6.09834;6.05676;5.92664;0.04028;5.88431;5.83528;0.06767;5.75603;4.49996;0.29133;4.14063;3.82881;0.63483;3.15637;0.26247;2.89038;0.54108;0.44050;0.29319;0.01927;0.01033;0.11935;0.01772;1.61983;1.54925;0.02446;1.51975;1.45581;1.36084;1.33869;1.25296;0.02750;1.22107;1.16191;1.04180;0.99487;0.00878;0.98541;0.02795;0.90427;0.50795;0.35751;0.28189;0.25378;0.20024;0.17561;0.02270;0.14285;0.00284;0.13787;0.00669;0.12343;0.00022;0.12225;0.00651;0.00324;0.00266;0.00035;0.00056;0.10637;0.00363;0.10267;0.09557;0.09026;0.02701;0.00926;0.00326;0.00118;0.00012;0.03953;0.00328;0.00616;0.00014;0.00508;0.01740;0.03811;0.00427;0.02808;0.00716;0.00071;0.00427;0.03641;0.00526;0.02458;0.00809;0.00904;0.00528;0.00302;0.00180;0.00084;0.00211;0.00348;0.14971;0.35423;0.25523;0.17569;0.13586;0.16735;0.01903;0.01150;0.00326;0.14732;0.14202;0.00498;0.00503;0.00229;0.02310;0.04370;0.05538;0.05656;0.02211;0.07270;0.03166;0.02129;0.01033;0.00431;0.20537;1.22961;1.18706;1.12466;0.05540;0.03788;0.02209;0.05923;0.02986;0.71667;0.17331;0.04012;0.14498;0.01647;0.02006;0.00163;1.39747;0.00025;0.08473;0.00274;0.01527;0.00708;0.00431;0.00093
2020-01-02 00:00;7.83152;7.68996;0.00736;7.68152;0.04047;0.04021;0.00012;7.62622;0.00078;7.53191;0.00203;7.51755;0.00026;7.50344;0.00015;7.47848;7.47623;0.00068;7.44844;7.40736;0.00045;7.38107;0.00064;0.00029;0.00025;7.36862;0.00177;7.35017;7.33268;0.00383;7.26871;0.00117;7.22862;0.00023;7.21259;0.00078;7.19735;7.18016;7.11841;7.02408;6.98767;6.29146;6.27540;2.08433;4.13820;3.97636;0.62953;3.29176;3.20280;3.00538;2.83861;2.66054;2.48202;0.00230;2.45217;0.00435;2.42550;2.40523;2.35001;0.00431;2.34224;2.31193;0.00790;2.29244;1.97880;0.03685;1.90399;1.82115;0.14740;1.63786;0.05762;1.57641;0.11978;0.10043;0.07147;0.01498;0.00929;0.02611;0.00945;1.23302;1.16852;0.01633;1.14582;1.09081;1.01460;0.99929;0.92081;0.01929;0.89691;0.85581;0.78001;0.75313;0.00534;0.74638;0.01970;0.69109;0.36519;0.26707;0.20310;0.17555;0.13646;0.12018;0.02125;0.09217;0.00129;0.08939;0.00452;0.07851;0.00019;0.07745;0.00467;0.00310;0.00130;0.00021;0.00020;0.06721;0.00257;0.06447;0.05955;0.05460;0.01218;0.00399;0.00184;0.00086;0.00012;0.02396;0.00167;0.00364;0.00013;0.00291;0.01022;0.02457;0.00396;0.01554;0.00381;0.00061;0.00288;0.02856;0.00327;0.02014;0.00750;0.00567;0.00383;0.00254;0.00163;0.00049;0.00115;0.00157;0.09739;0.27960;0.24135;0.18843;0.15126;0.16006;0.01376;0.01089;0.00288;0.14579;0.14325;0.00274;0.00347;0.00166;0.01808;0.02356;0.03602;0.04448;0.01527;0.04958;0.02066;0.01367;0.00535;0.00339;0.02557;0.28032;0.27229;0.25190;0.01762;0.00402;0.00236;0.00669;0.00320;0.17321;0.03684;0.05831;0.12944;0.02187;0.02799;0.00197;0.61006;0.00030;0.08769;0.00218;0.01610;0.00887;0.00409;0.00118
2020-01-03 00:00;6.07629;5.92360;0.01811;5.90528;0.11958;0.11887;0.00039;5.77778;0.00236;5.70641;0.00630;5.69528;0.00067;5.68998;0.00029;5.67827;5.67513;0.00138;5.66458;5.64003;0.00117;5.62858;0.00166;0.00072;0.00063;5.62248;0.00584;5.61015;5.58029;0.01131;5.52103;0.00335;5.49030;0.00030;5.48422;0.00166;5.47834;5.45652;5.41848;5.30570;5.29510;5.07897;5.06981;2.29639;2.75959;2.33874;0.40722;1.88721;1.74418;1.60796;1.32440;1.22757;1.20532;0.00018;1.19581;0.00043;1.18784;1.18166;1.16552;0.00065;1.16366;1.15362;0.00092;1.14870;1.09471;0.00239;1.08010;1.05809;0.02308;1.02152;0.00667;1.01339;0.06128;0.05033;0.03499;0.01218;0.00877;0.01373;0.00568;0.89438;0.85256;0.01276;0.83558;0.80170;0.75293;0.74260;0.68660;0.00993;0.67284;0.65160;0.59544;0.57738;0.00449;0.57207;0.01221;0.53159;0.25142;0.17554;0.12602;0.10595;0.08100;0.06997;0.01537;0.05162;0.00127;0.04933;0.00228;0.04356;0.00014;0.04280;0.00284;0.00177;0.00090;0.00026;0.00010;0.03678;0.00173;0.03491;0.03151;0.02712;0.00720;0.00247;0.00156;0.00094;0.00011;0.01131;0.00162;0.00253;0.00012;0.00199;0.00722;0.01479;0.00296;0.00819;0.00181;0.00038;0.00282;0.02383;0.00278;0.01737;0.00644;0.00431;0.00329;0.00228;0.00151;0.00038;0.00091;0.00078;0.07519;0.24546;0.22221;0.18840;0.15653;0.14993;0.00972;0.00850;0.00194;0.13985;0.13801;0.00213;0.00235;0.00076;0.00943;0.01533;0.01821;0.03427;0.01029;0.03052;0.00973;0.01006;0.00369;0.00276;0.00252;0.04180;0.03960;0.03158;0.00688;0.00036;0.00037;0.00052;0.00028;0.02038;0.00484;0.19585;0.07916;0.08089;0.10376;0.00584;0.18459;0.00070;0.11074;0.00705;0.02151;0.02610;0.01108;0.00292
2020-01-04 00:00;3.10785;2.99373;0.00881;2.98416;0.05785;0.05759;0.00009;2.91395;0.00083;2.83467;0.00643;2.81907;0.00031;2.80903;0.00015;2.79058;2.78834;0.00078;2.76795;2.73420;0.00058;2.71582;0.00058;0.00025;0.00028;2.70687;0.00139;2.69374;2.67681;0.00672;2.62863;0.00128;2.60038;0.00027;2.58929;0.00101;2.57857;2.55830;2.50859;2.41594;2.39124;2.28796;2.27509;0.88613;1.35175;1.13139;0.05788;1.05077;1.00539;0.97971;0.90526;0.88670;0.87972;0.00016;0.87718;0.00035;0.87495;0.87330;0.86892;0.00055;0.86807;0.86521;0.00078;0.86338;0.84279;0.00164;0.83705;0.82777;0.01233;0.81078;0.00279;0.80744;0.05186;0.04172;0.02775;0.00745;0.00843;0.01254;0.00507;0.72179;0.69392;0.00977;0.68127;0.65615;0.61549;0.60841;0.57138;0.00923;0.55908;0.54622;0.49826;0.48227;0.00433;0.47739;0.01209;0.43956;0.19467;0.13032;0.08826;0.07351;0.05347;0.04613;0.00609;0.03720;0.00076;0.03575;0.00201;0.03183;0.00009;0.03146;0.00190;0.00095;0.00078;0.00017;0.00009;0.02621;0.00112;0.02500;0.02230;0.01956;0.00634;0.00236;0.00133;0.00071;0.00011;0.00666;0.00118;0.00217;0.00012;0.00170;0.00416;0.01097;0.00184;0.00675;0.00110;0.00024;0.00198;0.02095;0.00188;0.01579;0.00529;0.00415;0.00298;0.00208;0.00134;0.00038;0.00080;0.00094;0.06371;0.22578;0.20597;0.18161;0.15586;0.14175;0.00738;0.00625;0.00089;0.13400;0.13222;0.00177;0.00203;0.00052;0.00470;0.01352;0.01101;0.01910;0.00704;0.02632;0.00930;0.00838;0.00246;0.00199;0.00216;0.01693;0.01621;0.01074;0.00518;0.00029;0.00031;0.00026;0.00021;0.00654;0.00114;0.05108;0.00616;0.02576;0.02959;0.00282;0.04335;0.00034;0.08820;0.00533;0.01958;0.01103;0.00734;0.00153
2020-01-05 00:00;1.56345;1.50677;0.00547;1.50090;0.02070;0.02049;0.00005;1.47294;0.00052;1.43081;0.00399;1.42181;0.00027;1.41651;0.00013;1.40738;1.40594;0.00057;1.39486;1.37707;0.00033;1.36737;0.00041;0.00019;0.00016;1.36258;0.00056;1.35586;1.34729;0.00249;1.32613;0.00062;1.31296;0.00027;1.30713;0.00062;1.30143;1.28212;1.25529;1.19942;1.18663;1.13783;1.13115;0.24342;0.86883;0.83309;0.00714;0.82130;0.81630;0.81009;0.79895;0.79356;0.78718;0.00018;0.78616;0.00035;0.78507;0.78441;0.78247;0.00059;0.78181;0.78041;0.00094;0.77907;0.76054;0.00164;0.75690;0.75096;0.01172;0.73731;0.00286;0.73422;0.05325;0.04287;0.02912;0.00949;0.00819;0.01239;0.00542;0.65394;0.63275;0.00557;0.62517;0.60648;0.57305;0.56587;0.54357;0.00870;0.53233;0.52136;0.47752;0.46167;0.00444;0.45704;0.01105;0.42238;0.18865;0.12521;0.08944;0.07634;0.05816;0.04899;0.00661;0.03981;0.00128;0.03783;0.00199;0.03354;0.00007;0.03326;0.00192;0.00084;0.00090;0.00026;0.00010;0.02835;0.00157;0.02672;0.02397;0.02108;0.00675;0.00247;0.00154;0.00095;0.00011;0.00930;0.00165;0.00239;0.00012;0.00195;0.00701;0.01140;0.00145;0.00794;0.00178;0.00034;0.00284;0.01972;0.00281;0.01413;0.00397;0.00403;0.00303;0.00217;0.00142;0.00038;0.00076;0.00078;0.06286;0.21560;0.19480;0.17383;0.15374;0.13532;0.00605;0.00478;0.00104;0.12891;0.12705;0.00214;0.00226;0.00055;0.00505;0.01366;0.00975;0.00992;0.00714;0.02288;0.00845;0.00670;0.00266;0.00124;0.00223;0.01676;0.01616;0.01003;0.00593;0.00032;0.00042;0.00027;0.00023;0.00621;0.00127;0.00565;0.00268;0.00105;0.00369;0.00133;0.01918;0.00024;0.05363;0.00322;0.01896;0.00561;0.00350;0.00108
2020-01-06 00:00;1.11590;1.08757;0.00510;1.08235;0.01860;0.01844;0.00005;1.06010;0.00051;1.03844;0.00185;1.03460;0.00022;1.03284;0.00013;1.02956;1.02847;0.00057;1.02407;1.01659;0.00031;1.01321;0.00039;0.00019;0.00016;1.01136;0.00051;1.00878;1.00279;0.00191;0.99525;0.00060;0.99079;0.00027;0.98880;0.00061;0.98665;0.96817;0.95653;0.92312;0.91927;0.89228;0.88939;0.07406;0.81002;0.80060;0.00731;0.79257;0.79089;0.78713;0.78121;0.77644;0.76998;0.00018;0.76917;0.00036;0.76826;0.76772;0.76606;0.00059;0.76541;0.76418;0.00096;0.76289;0.74360;0.00165;0.74018;0.73453;0.01139;0.72143;0.00289;0.71834;0.05038;0.04000;0.02667;0.00685;0.00794;0.01198;0.00548;0.64183;0.62198;0.00694;0.61312;0.59325;0.55930;0.55270;0.52760;0.00962;0.51572;0.50226;0.46019;0.44393;0.00445;0.43915;0.01221;0.40335;0.18083;0.12217;0.08540;0.07243;0.05317;0.04590;0.00494;0.03800;0.00079;0.03651;0.00211;0.03253;0.00006;0.03225;0.00199;0.00098;0.00083;0.00018;0.00011;0.02677;0.00114;0.02554;0.02289;0.02045;0.00676;0.00249;0.00138;0.00072;0.00011;0.00682;0.00124;0.00213;0.00012;0.00176;0.00426;0.01079;0.00142;0.00721;0.00118;0.00025;0.00201;0.01725;0.00193;0.01236;0.00238;0.00408;0.00286;0.00205;0.00131;0.00038;0.00070;0.00100;0.05813;0.20604;0.18635;0.16712;0.15103;0.12968;0.00523;0.00393;0.00081;0.12407;0.12220;0.00184;0.00205;0.00056;0.00515;0.01398;0.01225;0.01137;0.00656;0.02299;0.00993;0.00461;0.00248;0.00173;0.00227;0.01773;0.01712;0.01046;0.00647;0.00032;0.00043;0.00028;0.00023;0.00634;0.00142;0.00410;0.00275;0.00070;0.00125;0.00124;0.01792;0.00023;0.03280;0.00168;0.01840;0.00510;0.00234;0.00101
2020-01-07 00:00;1.00961;0.98780;0.00468;0.98307;0.01706;0.01691;0.00004;0.96322;0.00050;0.94664;0.00245;0.94288;0.00026;0.94182;0.00013;0.93970;0.93871;0.00055;0.93575;0.93015;0.00032;0.92809;0.00038;0.00019;0.00015;0.92686;0.00049;0.92516;0.91996;0.00201;0.91496;0.00059;0.91228;0.00027;0.91109;0.00060;0.90970;0.89181;0.88283;0.84916;0.84694;0.82373;0.82157;0.03862;0.78014;0.77351;0.00728;0.76506;0.76308;0.75897;0.75393;0.74901;0.74282;0.00018;0.74190;0.00035;0.74091;0.74030;0.73850;0.00059;0.73785;0.73655;0.00095;0.73524;0.71593;0.00164;0.71246;0.70679;0.01110;0.69398;0.00283;0.69095;0.05122;0.04094;0.02804;0.00927;0.00766;0.01162;0.00550;0.61435;0.59398;0.00530;0.58677;0.56868;0.53781;0.53057;0.50873;0.00892;0.49768;0.48624;0.44745;0.43145;0.00443;0.42682;0.01101;0.39369;0.17844;0.12162;0.08877;0.07601;0.05762;0.04857;0.00663;0.03932;0.00123;0.03736;0.00200;0.03304;0.00005;0.03277;0.00192;0.00086;0.00089;0.00025;0.00010;0.02784;0.00150;0.02627;0.02366;0.02098;0.00676;0.00247;0.00150;0.00091;0.00011;0.00898;0.00159;0.00222;0.00012;0.00195;0.00679;0.01145;0.00144;0.00796;0.00175;0.00033;0.00273;0.01694;0.00268;0.01162;0.00215;0.00386;0.00286;0.00212;0.00138;0.00038;0.00064;0.00078;0.05633;0.19722;0.17906;0.16197;0.14781;0.12406;0.00459;0.00329;0.00105;0.11911;0.11724;0.00212;0.00225;0.00056;0.00511;0.01384;0.01031;0.01029;0.00720;0.02116;0.00870;0.00490;0.00275;0.00128;0.00224;0.01769;0.01707;0.01045;0.00642;0.00032;0.00042;0.00028;0.00023;0.00605;0.00141;0.00261;0.00264;0.00055;0.00048;0.00122;0.01774;0.00023;0.03339;0.00214;0.01787;0.00474;0.00246;0.00096
2020-01-08 00:00;0.96643;0.94752;0.00437;0.94313;0.01675;0.01660;0.00004;0.92404;0.00050;0.90983;0.00174;0.90711;0.00022;0.90642;0.00013;0.90480;0.90387;0.00056;0.90158;0.89719;0.00031;0.89578;0.00038;0.00019;0.00016;0.89485;0.00050;0.89356;0.88878;0.00187;0.88498;0.00059;0.88308;0.00027;0.88227;0.00061;0.88122;0.86388;0.85713;0.82642;0.82519;0.80402;0.80230;0.03593;0.76496;0.75934;0.00752;0.75130;0.74999;0.74628;0.74278;0.73815;0.73210;0.00019;0.73141;0.00035;0.73057;0.73010;0.72861;0.00060;0.72798;0.72683;0.00100;0.72555;0.70601;0.00163;0.70279;0.69747;0.01112;0.68492;0.00284;0.68192;0.04890;0.03862;0.02581;0.00682;0.00741;0.01154;0.00557;0.60891;0.59015;0.00706;0.58132;0.56264;0.52981;0.52310;0.49866;0.00973;0.48692;0.47317;0.43547;0.41923;0.00445;0.41450;0.01219;0.38014;0.17265;0.11977;0.08500;0.07233;0.05294;0.04578;0.00499;0.03777;0.00078;0.03629;0.00214;0.03235;0.00005;0.03207;0.00202;0.00100;0.00084;0.00017;0.00011;0.02653;0.00109;0.02535;0.02271;0.02042;0.00684;0.00252;0.00137;0.00070;0.00011;0.00662;0.00123;0.00213;0.00012;0.00177;0.00414;0.01095;0.00144;0.00731;0.00119;0.00024;0.00194;0.01604;0.00186;0.01127;0.00190;0.00400;0.00275;0.00200;0.00126;0.00038;0.00064;0.00103;0.05242;0.19139;0.17342;0.15794;0.14425;0.11903;0.00422;0.00285;0.00083;0.11441;0.11251;0.00185;0.00205;0.00058;0.00527;0.01402;0.01274;0.01185;0.00667;0.02295;0.01006;0.00464;0.00253;0.00177;0.00226;0.01813;0.01748;0.01057;0.00669;0.00033;0.00046;0.00028;0.00024;0.00594;0.00156;0.00211;0.00295;0.00058;0.00045;0.00121;0.01781;0.00023;0.03059;0.00154;0.01733;0.00451;0.00223;0.00093
2020-01-09 00:00;0.94227;0.92518;0.00386;0.92129;0.01426;0.01414;0.00004;0.90479;0.00046;0.89131;0.00229;0.88802;0.00025;0.88720;0.00012;0.88539;0.88453;0.00054;0.88210;0.87741;0.00031;0.87585;0.00036;0.00018;0.00015;0.87487;0.00042;0.87359;0.86927;0.00190;0.86543;0.00054;0.86348;0.00027;0.86256;0.00058;0.86139;0.84467;0.83724;0.80525;0.80358;0.78212;0.78030;0.03519;0.74288;0.73682;0.00704;0.72851;0.72652;0.72257;0.71846;0.71392;0.70824;0.00017;0.70725;0.00035;0.70622;0.70557;0.70366;0.00057;0.70301;0.70167;0.00090;0.70039;0.68133;0.00162;0.67781;0.67208;0.01071;0.65953;0.00268;0.65665;0.04913;0.03912;0.02686;0.00919;0.00712;0.01106;0.00544;0.58326;0.56283;0.00521;0.55567;0.53781;0.50734;0.50015;0.47846;0.00892;0.46747;0.45611;0.42241;0.40654;0.00436;0.40195;0.01088;0.37006;0.16859;0.11895;0.08756;0.07483;0.05660;0.04766;0.00650;0.03858;0.00120;0.03665;0.00195;0.03238;0.00005;0.03212;0.00188;0.00085;0.00086;0.00025;0.00009;0.02727;0.00147;0.02573;0.02311;0.02045;0.00658;0.00242;0.00147;0.00090;0.00011;0.00872;0.00155;0.00223;0.00012;0.00192;0.00669;0.01128;0.00143;0.00783;0.00172;0.00032;0.00269;0.01624;0.00263;0.01102;0.00221;0.00376;0.00277;0.00209;0.00135;0.00037;0.00059;0.00076;0.04920;0.18362;0.16833;0.15350;0.14046;0.11402;0.00378;0.00253;0.00104;0.10988;0.10805;0.00208;0.00223;0.00055;0.00494;0.01373;0.01020;0.01038;0.00715;0.02111;0.00869;0.00487;0.00270;0.00128;0.00219;0.01740;0.01682;0.01031;0.00631;0.00031;0.00039;0.00027;0.00022;0.00554;0.00132;0.00159;0.00237;0.00047;0.00037;0.00113;0.01700;0.00022;0.03179;0.00198;0.01670;0.00400;0.00234;0.00085
2020-01-10 00:00;0.90593;0.88914;0.00374;0.88537;0.01459;0.01446;0.00004;0.86878;0.00047;0.85627;0.00163;0.85378;0.00022;0.85311;0.00012;0.85145;0.85061;0.00055;0.84847;0.84439;0.00030;0.84307;0.00037;0.00019;0.00015;0.84220;0.00048;0.84099;0.83673;0.00181;0.83295;0.00056;0.83106;0.00027;0.83028;0.00060;0.82924;0.81307;0.80686;0.77803;0.77684;0.75661;0.75498;0.03394;0.71948;0.71406;0.00688;0.70652;0.70510;0.70166;0.69812;0.69384;0.68852;0.00018;0.68778;0.00034;0.68692;0.68642;0.68488;0.00057;0.68427;0.68312;0.00092;0.68190;0.66333;0.00159;0.66013;0.65491;0.01052;0.64290;0.00261;0.64012;0.04625;0.03634;0.02436;0.00668;0.00685;0.01080;0.00541;0.57130;0.55284;0.00661;0.54444;0.52652;0.49496;0.48842;0.46529;0.00936;0.45396;0.44094;0.40873;0.39288;0.00433;0.38826;0.01174;0.35575;0.16104;0.11515;0.08257;0.07013;0.05122;0.04420;0.00486;0.03643;0.00076;0.03498;0.00206;0.03114;0.00005;0.03087;0.00194;0.00094;0.00082;0.00017;0.00011;0.02554;0.00107;0.02438;0.02184;0.01960;0.00666;0.00246;0.00134;0.00069;0.00011;0.00634;0.00121;0.00204;0.00012;0.00172;0.00408;0.01064;0.00139;0.00713;0.00117;0.00023;0.00190;0.01441;0.00181;0.00973;0.00104;0.00385;0.00267;0.00196;0.00123;0.00038;0.00060;0.00097;0.04547;0.17898;0.16338;0.14916;0.13644;0.10966;0.00361;0.00231;0.00081;0.10567;0.10381;0.00181;0.00201;0.00056;0.00503;0.01369;0.01200;0.01105;0.00650;0.02217;0.00960;0.00449;0.00246;0.00169;0.00216;0.01715;0.01654;0.01010;0.00624;0.00031;0.00042;0.00027;0.00023;0.00520;0.00137;0.00190;0.00252;0.00054;0.00041;0.00115;0.01672;0.00022;0.02871;0.00144;0.01616;0.00400;0.00216;0.00084
