PARAMETRES HYDROTEL VERSION;4.3.1.0000

SOUS MODELE;THORNTHWAITE

UHRH ID;INDICE THERMIQUE;FACTEUR DEPHASAGE;COEFFICIENT MULTIPLICATIF D'OPTIMISATION
1;30;80;1
2;30;80;1
3;30;80;1
4;30;80;1
5;30;80;1
6;30;80;1
7;30;80;1
8;30;80;1
9;30;80;1
10;30;80;1
11;30;80;1
12;30;80;1
13;30;80;1
14;30;80;1
15;30;80;1
16;30;80;1
17;30;80;1
18;30;80;1
19;30;80;1
20;30;80;1
21;30;80;1
22;30;80;1
23;30;80;1
24;30;80;1
25;30;80;1
26;30;80;1
27;30;80;1
28;30;80;1
29;30;80;1
30;30;80;1
31;30;80;1
32;30;80;1
33;30;80;1
34;30;80;1
35;30;80;1
36;30;80;1
37;30;80;1
38;30;80;1
39;30;80;1
40;30;80;1
41;30;80;1
42;30;80;1
43;30;80;1
44;30;80;1
45;30;80;1
46;30;80;1
47;30;80;1
48;30;80;1
49;30;80;1
50;30;80;1
51;30;80;1
52;30;80;1
53;30;80;1
54;30;80;1
55;30;80;1
56;30;80;1
57;30;80;1
58;30;80;1
59;30;80;1
60;30;80;1
61;30;80;1
62;30;80;1
63;30;80;1
64;30;80;1
65;30;80;1
66;30;80;1
67;30;80;1
68;30;80;1
69;30;80;1
70;30;80;1
71;30;80;1
72;30;80;1
73;30;80;1
74;30;80;1
75;30;80;1
76;30;80;1
77;30;80;1
78;30;80;1
79;30;80;1
80;30;80;1
81;30;80;1
82;30;80;1
83;30;80;1
84;30;80;1
85;30;80;1
86;30;80;1
87;30;80;1
88;30;80;1
89;30;80;1
90;30;80;1
91;30;80;1
92;30;80;1
93;30;80;1
94;30;80;1
95;30;80;1
96;30;80;1
97;30;80;1
98;30;80;1
99;30;80;1
100;30;80;1
101;30;80;1
102;30;80;1
103;30;80;1
104;30;80;1
105;30;80;1
106;30;80;1
107;30;80;1
108;30;80;1
109;30;80;1
110;30;80;1
111;30;80;1
112;30;80;1
113;30;80;1
114;30;80;1
115;30;80;1
116;30;80;1
117;30;80;1
118;30;80;1
119;30;80;1
120;30;80;1
121;30;80;1
122;30;80;1
123;30;80;1
124;30;80;1
125;30;80;1
126;30;80;1
127;30;80;1
128;30;80;1
129;30;80;1
130;30;80;1
131;30;80;1
132;30;80;1
133;30;80;1
134;30;80;1
135;30;80;1
136;30;80;1
137;30;80;1
138;30;80;1
139;30;80;1
140;30;80;1
141;30;80;1
142;30;80;1
143;30;80;1
144;30;80;1
145;30;80;1
146;30;80;1
147;30;80;1
148;30;80;1
149;30;80;1
150;30;80;1
151;30;80;1
152;30;80;1
153;30;80;1
154;30;80;1
155;30;80;1
156;30;80;1
157;30;80;1
158;30;80;1
159;30;80;1
160;30;80;1
161;30;80;1
162;30;80;1
163;30;80;1
164;30;80;1
165;30;80;1
166;30;80;1
167;30;80;1
168;30;80;1
169;30;80;1
170;30;80;1
171;30;80;1
172;30;80;1
173;30;80;1
174;30;80;1
175;30;80;1
176;30;80;1
177;30;80;1
178;30;80;1
179;30;80;1
180;30;80;1
181;30;80;1
182;30;80;1
183;30;80;1
184;30;80;1
185;30;80;1
186;30;80;1
187;30;80;1
188;30;80;1
189;30;80;1
190;30;80;1
191;30;80;1
192;30;80;1
193;30;80;1
194;30;80;1
195;30;80;1
196;30;80;1
197;30;80;1
198;30;80;1
199;30;80;1
200;30;80;1
201;30;80;1
202;30;80;1
203;30;80;1
204;30;80;1
205;30;80;1
206;30;80;1
207;30;80;1
208;30;80;1
209;30;80;1
210;30;80;1
211;30;80;1
212;30;80;1
213;30;80;1
214;30;80;1
215;30;80;1
216;30;80;1
217;30;80;1
218;30;80;1
219;30;80;1
220;30;80;1
221;30;80;1
222;30;80;1
223;30;80;1
224;30;80;1
225;30;80;1
226;30;80;1
227;30;80;1
228;30;80;1
229;30;80;1
230;30;80;1
231;30;80;1
232;30;80;1
233;30;80;1
234;30;80;1
235;30;80;1
236;30;80;1
237;30;80;1
238;30;80;1
239;30;80;1
240;30;80;1
241;30;80;1
242;30;80;1
243;30;80;1
244;30;80;1
245;30;80;1
246;30;80;1
247;30;80;1
248;30;80;1
249;30;80;1
250;30;80;1
251;30;80;1
252;30;80;1
253;30;80;1
254;30;80;1
255;30;80;1
256;30;80;1
257;30;80;1
258;30;80;1
259;30;80;1
260;30;80;1
261;30;80;1
262;30;80;1
263;30;80;1
264;30;80;1
265;30;80;1
266;30;80;1
267;30;80;1
268;30;80;1
269;30;80;1
270;30;80;1
271;30;80;1
272;30;80;1
273;30;80;1
274;30;80;1
275;30;80;1
276;30;80;1
277;30;80;1
278;30;80;1
279;30;80;1
280;30;80;1
281;30;80;1
282;30;80;1
283;30;80;1
284;30;80;1
285;30;80;1
286;30;80;1
287;30;80;1
288;30;80;1
289;30;80;1
290;30;80;1
291;30;80;1
292;30;80;1
293;30;80;1
294;30;80;1
295;30;80;1
296;30;80;1
297;30;80;1
298;30;80;1
299;30;80;1
300;30;80;1
301;30;80;1
302;30;80;1
303;30;80;1
304;30;80;1
305;30;80;1
306;30;80;1
307;30;80;1
308;30;80;1
309;30;80;1
310;30;80;1
311;30;80;1
312;30;80;1
313;30;80;1
314;30;80;1
315;30;80;1
316;30;80;1
317;30;80;1
318;30;80;1
319;30;80;1
320;30;80;1
321;30;80;1
322;30;80;1
323;30;80;1
324;30;80;1
325;30;80;1
326;30;80;1
327;30;80;1
328;30;80;1
329;30;80;1
330;30;80;1
331;30;80;1
332;30;80;1
333;30;80;1
334;30;80;1
335;30;80;1
336;30;80;1
337;30;80;1
338;30;80;1
339;30;80;1
340;30;80;1
341;30;80;1
342;30;80;1
343;30;80;1
344;30;80;1
345;30;80;1
346;30;80;1
347;30;80;1
348;30;80;1
349;30;80;1
350;30;80;1
351;30;80;1
352;30;80;1
353;30;80;1
354;30;80;1
355;30;80;1
356;30;80;1
357;30;80;1
358;30;80;1
359;30;80;1
360;30;80;1
361;30;80;1
362;30;80;1
363;30;80;1
364;30;80;1
365;30;80;1
366;30;80;1
367;30;80;1
368;30;80;1
369;30;80;1
370;30;80;1
371;30;80;1
372;30;80;1
373;30;80;1
